species	element	familyname
Brachypodium	TF	NAC
Brachypodium	TF	MYB
Brachypodium	TF	bHLH
Brachypodium	TF	AP2-EREBP
Brachypodium	TF	NAC
Brachypodium	TF	NAC
Brachypodium	TF	NAC
Brachypodium	TF	NAC
Brachypodium	TF	bZIP
Brachypodium	TF	MYB
Brachypodium	TF	Orphans
Brachypodium	TF	NAC
Brachypodium	TF	WRKY
Brachypodium	TF	C3H
Brachypodium	TF	AP2-EREBP
Brachypodium	TF	Orphans
Brachypodium	TF	ABI3-VP1
Brachypodium	TF	G2-like
Brachypodium	TF	MYB
Brachypodium	TF	TCP
Brachypodium	TF	NAC
Brachypodium	TF	CAMTA
Brachypodium	TF	AP2-EREBP
Brachypodium	TF	C3H
Brachypodium	TF	ABI3-VP1
Brachypodium	TF	GRAS
Brachypodium	TF	bZIP
Brachypodium	TF	G2-like
Brachypodium	TF	AP2-EREBP
Brachypodium	TF	NLP
Brachypodium	TF	C3H
Brachypodium	TF	MADS
Brachypodium	TF	C3H
Brachypodium	TF	Orphans
Brachypodium	TF	MADS
Brachypodium	TF	bHLH
Brachypodium	TF	MYB
Brachypodium	TF	NAC
Brachypodium	TF	WRKY
Brachypodium	TF	bZIP
Brachypodium	TF	Homeobox
Brachypodium	TF	HSF
Brachypodium	TF	ABI3-VP1
Brachypodium	TF	C2C2-YABBY
Brachypodium	TF	BZR
Brachypodium	TF	Orphans
Brachypodium	TF	HSF
Brachypodium	TF	C2C2-YABBY
Brachypodium	TF	NAC
Brachypodium	TF	AP2-EREBP
Brachypodium	TF	bZIP
Brachypodium	TF	bHLH
Brachypodium	TF	MYB
Brachypodium	TF	CPP
Brachypodium	TF	MADS
Brachypodium	TF	C3H
Brachypodium	TF	AP2-EREBP
Brachypodium	TF	AP2-EREBP
Brachypodium	TF	SBP
Brachypodium	TF	ARR-B
Brachypodium	TF	Orphans
Brachypodium	TF	ABI3-VP1
Brachypodium	TF	Orphans
Brachypodium	TF	CCAAT
Brachypodium	TF	Orphans
Brachypodium	TF	WRKY
Brachypodium	TF	GeBP
Brachypodium	TF	WRKY
Brachypodium	TF	AP2-EREBP
Brachypodium	TF	HSF
Brachypodium	TF	TCP
Brachypodium	TF	bHLH
Brachypodium	TF	Orphans
Brachypodium	TF	Orphans
Brachypodium	TF	G2-like
Brachypodium	TF	Orphans
Brachypodium	TF	bHLH
Brachypodium	TF	bZIP
Brachypodium	TF	Homeobox
Brachypodium	TF	MYB-related
Brachypodium	TF	bZIP
Brachypodium	TF	Orphans
Brachypodium	TF	ZF-HD
Brachypodium	TF	Orphans
Brachypodium	TF	BZR
Brachypodium	TF	BBR/BPC
Brachypodium	TF	bHLH
Brachypodium	TF	bHLH
Brachypodium	TF	MYB
Brachypodium	TF	MADS
Brachypodium	TF	ABI3-VP1
Brachypodium	TF	GRAS
Brachypodium	TF	AP2-EREBP
Brachypodium	TF	ZIM
Brachypodium	TF	bZIP
Brachypodium	TF	C3H
Brachypodium	TF	BZR
Brachypodium	TF	MYB
Brachypodium	TF	WRKY
Brachypodium	TF	G2-like
Brachypodium	TF	Homeobox
Brachypodium	TF	GRF
Brachypodium	TF	NAC
Brachypodium	TF	Trihelix
Brachypodium	TF	NAC
Brachypodium	TF	bHLH
Brachypodium	TF	AP2-EREBP
Brachypodium	TF	ARF
Brachypodium	TF	Orphans
Brachypodium	TF	ABI3-VP1
Brachypodium	TF	MYB-related
Brachypodium	TF	WRKY
Brachypodium	TF	Trihelix
Brachypodium	TF	ZF-HD
Brachypodium	TF	AP2-EREBP
Brachypodium	TF	bHLH
Brachypodium	TF	HSF
Brachypodium	TF	ZF-HD
Brachypodium	TF	Homeobox
Brachypodium	TF	AP2-EREBP
Brachypodium	TF	AP2-EREBP
Brachypodium	TF	AP2-EREBP
Brachypodium	TF	AP2-EREBP
Brachypodium	TF	bHLH
Brachypodium	TF	C2C2-GATA
Brachypodium	TF	MYB-related
Brachypodium	TF	GRAS
Brachypodium	TF	GRF
Brachypodium	TF	MYB
Brachypodium	TF	Homeobox
Brachypodium	TF	MYB
Brachypodium	TF	ABI3-VP1
Brachypodium	TF	Orphans
Brachypodium	TF	AP2-EREBP
Brachypodium	TF	AP2-EREBP
Brachypodium	TF	bHLH
Brachypodium	TF	WRKY
Brachypodium	TF	MYB-related
Brachypodium	TF	bZIP
Brachypodium	TF	GRF
Brachypodium	TF	ZF-HD
Brachypodium	TF	GRAS
Brachypodium	TF	MADS
Brachypodium	TF	TCP
Brachypodium	TF	C2C2-GATA
Brachypodium	TF	WRKY
Brachypodium	TF	C3H
Brachypodium	TF	TCP
Brachypodium	TF	C2C2-Dof
Brachypodium	TF	Orphans
Brachypodium	TF	AP2-EREBP
Brachypodium	TF	NAC
Brachypodium	Coreg	PHD
Brachypodium	Coreg	JUMONJI
Brachypodium	TF	Homeobox
Brachypodium	TF	WHIRLY
Brachypodium	TF	C3H
Brachypodium	TF	bZIP
Brachypodium	TF	WRKY
Brachypodium	TF	MYB
Brachypodium	TF	CCAAT
Brachypodium	TF	Orphans
Brachypodium	TF	C2C2-CO-like
Brachypodium	TF	GRAS
Brachypodium	TF	AP2-EREBP
Brachypodium	TF	AP2-EREBP
Brachypodium	TF	E2F-DP
Brachypodium	TF	C2C2-GATA
Brachypodium	TF	MYB
Brachypodium	TF	bZIP
Brachypodium	TF	AP2-EREBP
Brachypodium	TF	WRKY
Brachypodium	TF	NAC
Brachypodium	TF	Orphans
Brachypodium	TF	MYB-related
Brachypodium	TF	bZIP
Brachypodium	TF	AP2-EREBP
Brachypodium	TF	TCP
Brachypodium	TF	AP2-EREBP
Brachypodium	TF	bZIP
Brachypodium	TF	CCAAT
Brachypodium	TF	ARID
Brachypodium	TF	Orphans
Brachypodium	TF	Orphans
Brachypodium	TF	C2C2-GATA
Brachypodium	TF	G2-like
Brachypodium	TF	NAC
Brachypodium	TF	Orphans
Brachypodium	TF	ABI3-VP1
Brachypodium	TF	NLP
Brachypodium	TF	G2-like
Brachypodium	TF	AP2-EREBP
Brachypodium	TF	bZIP
Brachypodium	TF	SBP
Brachypodium	TF	Homeobox
Brachypodium	TF	MYB-related
Brachypodium	TF	bHLH
Brachypodium	TF	HSF
Brachypodium	TF	CCAAT
Brachypodium	TF	Orphans
Brachypodium	TF	bZIP
Brachypodium	TF	ZIM
Brachypodium	TF	WRKY
Brachypodium	TF	WRKY
Brachypodium	TF	MYB-related
Brachypodium	TF	WRKY
Brachypodium	TF	Homeobox
Brachypodium	TF	SBP
Brachypodium	TF	ZF-HD
Brachypodium	TF	Orphans
Brachypodium	TF	ARF
Brachypodium	TF	NAC
Brachypodium	TF	WRKY
Brachypodium	TF	C2C2-GATA
Brachypodium	TF	Orphans
Brachypodium	TF	AP2-EREBP
Brachypodium	TF	GRAS
Brachypodium	TF	Trihelix
Brachypodium	TF	CCAAT
Brachypodium	TF	HSF
Brachypodium	TF	G2-like
Brachypodium	TF	Orphans
Brachypodium	TF	TCP
Brachypodium	TF	WRKY
Brachypodium	TF	Orphans
Brachypodium	TF	G2-like
Brachypodium	TF	MADS
Brachypodium	TF	WRKY
Brachypodium	TF	bHLH
Brachypodium	TF	MYB-related
Brachypodium	TF	AP2-EREBP
Brachypodium	TF	AP2-EREBP
Brachypodium	TF	bHLH
Brachypodium	TF	NAC
Brachypodium	TF	bZIP
Brachypodium	TF	ARF
Brachypodium	TF	MYB
Brachypodium	TF	MYB
Brachypodium	TF	C3H
Brachypodium	TF	G2-like
Brachypodium	TF	ZIM
Brachypodium	TF	Orphans
Brachypodium	TF	MYB
Brachypodium	TF	MYB-related
Brachypodium	TF	ARID
Brachypodium	TF	ABI3-VP1
Brachypodium	TF	NAC
Brachypodium	TF	NAC
Brachypodium	TF	bHLH
Brachypodium	TF	WRKY
Brachypodium	TF	TCP
Brachypodium	TF	MADS
Brachypodium	TF	CCAAT
Brachypodium	TF	Orphans
Brachypodium	TF	ARF
Brachypodium	TF	ARF
Brachypodium	TF	Trihelix
Brachypodium	TF	GRAS
Brachypodium	TF	C2C2-Dof
Brachypodium	TF	CCAAT
Brachypodium	TF	MYB
Brachypodium	TF	AP2-EREBP
Brachypodium	TF	NAC
Brachypodium	TF	Orphans
Brachypodium	TF	Orphans
Brachypodium	TF	NAC
Brachypodium	TF	ZF-HD
Brachypodium	TF	Orphans
Brachypodium	TF	MYB
Brachypodium	TF	Orphans
Brachypodium	TF	ARR-B
Brachypodium	TF	bZIP
Brachypodium	TF	bZIP
Brachypodium	TF	C2C2-GATA
Brachypodium	TF	C3H
Brachypodium	TF	MYB
Brachypodium	TF	Homeobox
Brachypodium	TF	MYB
Brachypodium	TF	bHLH
Brachypodium	TF	NLP
Brachypodium	Coreg	JUMONJI
Brachypodium	Coreg	PHD
Brachypodium	Coreg	PHD
Brachypodium	Coreg	PHD
Brachypodium	Coreg	JUMONJI
Brachypodium	Coreg	PHD
Brachypodium	Coreg	JUMONJI
Brachypodium	TF	WRKY
Brachypodium	TF	Orphans
Brachypodium	TF	Homeobox
Brachypodium	TF	E2F-DP
Brachypodium	TF	WRKY
Brachypodium	TF	AP2-EREBP
Brachypodium	TF	bZIP
Brachypodium	TF	bZIP
Brachypodium	TF	MYB
Brachypodium	TF	AP2-EREBP
Brachypodium	TF	CCAAT
Brachypodium	TF	bZIP
Brachypodium	TF	Homeobox
Brachypodium	TF	GRAS
Brachypodium	TF	NAC
Brachypodium	TF	Orphans
Brachypodium	TF	bHLH
Brachypodium	TF	ABI3-VP1
Brachypodium	TF	MYB
Brachypodium	TF	bHLH
Brachypodium	TF	AP2-EREBP
Brachypodium	TF	AP2-EREBP
Brachypodium	TF	AP2-EREBP
Brachypodium	TF	ZIM
Brachypodium	TF	AP2-EREBP
Brachypodium	TF	NLP
Brachypodium	TF	Alfin-like
Brachypodium	TF	G2-like
Brachypodium	TF	ZIM
Brachypodium	TF	NAC
Brachypodium	TF	Homeobox
Brachypodium	TF	MYB-related
Brachypodium	TF	MADS
