species	element	familyname
Maize	TF	G2-like
Maize	TF	Orphans
Maize	TF	NLP
Maize	TF	TCP
Maize	TF	MADS
Maize	TF	AP2-EREBP
Maize	TF	MADS
Maize	TF	bZIP
Maize	TF	GeBP
Maize	TF	Orphans
Maize	TF	MYB
Maize	TF	GRF
Maize	TF	E2F-DP
Maize	TF	ARF
Maize	TF	AP2-EREBP
Maize	TF	bHLH
Maize	TF	Orphans
Maize	TF	bHLH
Maize	TF	ARR-B
Maize	TF	AP2-EREBP
Maize	TF	DBP
Maize	TF	MYB-related
Maize	TF	AP2-EREBP
Maize	TF	bHLH
Maize	TF	MADS
Maize	TF	AP2-EREBP
Maize	TF	WRKY
Maize	TF	Orphans
Maize	TF	WRKY
Maize	TF	AP2-EREBP
Maize	TF	Homeobox
Maize	TF	Homeobox
Maize	TF	NAC
Maize	TF	BBR/BPC
Maize	TF	GRAS
Maize	TF	Orphans
Maize	TF	MYB
Maize	TF	MYB-related
Maize	TF	GRAS
Maize	TF	NAC
Maize	TF	NAC
Maize	TF	NAC
Maize	TF	NAC
Maize	TF	C2C2-CO-like
Maize	TF	CCAAT-DR1
Maize	TF	C2C2-CO-like
Maize	TF	C3H
Maize	TF	NAC
Maize	TF	Homeobox
Maize	TF	HSF
Maize	TF	G2-like
Maize	TF	NAC
Maize	TF	bHLH
Maize	TF	CCAAT-DR1
Maize	TF	MADS
Maize	TF	AP2-EREBP
Maize	TF	HSF
Maize	TF	BZR
Maize	TF	MADS
Maize	TF	bHLH
Maize	TF	C2C2-GATA
Maize	TF	Rcd1-like
Maize	TF	bZIP
Maize	TF	Homeobox
Maize	TF	FAR1-like
Maize	TF	DBP
Maize	TF	MYB
Maize	TF	MYB
Maize	TF	MYB
Maize	TF	bZIP
Maize	TF	Homeobox
Maize	TF	AP2-EREBP
Maize	TF	MYB
Maize	TF	AP2-EREBP
Maize	TF	bZIP
Maize	TF	Rcd1-like
Maize	TF	bZIP
Maize	TF	ARID
Maize	TF	C3H
Maize	TF	bZIP
Maize	TF	Orphans
Maize	TF	ARR-B
Maize	TF	bHLH
Maize	TF	Orphans
Maize	TF	GRAS
Maize	TF	WRKY
Maize	TF	Orphans
Maize	TF	Orphans
Maize	TF	Orphans
Maize	TF	Orphans
Maize	TF	C2C2-CO-like
Maize	TF	AP2-EREBP
Maize	TF	C2C2-CO-like
Maize	TF	Orphans
Maize	TF	bZIP
Maize	TF	G2-like
Maize	TF	CCAAT-HAP5
Maize	TF	MYB-related
Maize	TF	G2-like
Maize	TF	bHLH
Maize	TF	TUB
Maize	TF	PLATZ
Maize	TF	Trihelix
Maize	TF	MYB-related
Maize	TF	AP2-EREBP
Maize	TF	Orphans
Maize	TF	C2C2-GATA
Maize	TF	GRAS
Maize	TF	MYB
Maize	TF	Orphans
Maize	TF	Orphans
Maize	TF	Orphans
Maize	TF	PLATZ
Maize	TF	GRAS
Maize	TF	WRKY
Maize	TF	AP2-EREBP
Maize	TF	OVATE
Maize	TF	MADS
Maize	TF	ABI3-VP1
Maize	TF	Orphans
Maize	TF	Orphans
Maize	TF	Orphans
Maize	TF	Orphans
Maize	TF	GeBP
Maize	TF	mTERF
Maize	TF	Orphans
Maize	TF	bZIP
Maize	TF	C3H
Maize	TF	NAC
Maize	TF	NAC
Maize	TF	Homeobox
Maize	TF	EIL
Maize	TF	WRKY
Maize	TF	MYB
Maize	TF	bZIP
Maize	TF	Trihelix
Maize	TF	bZIP
Maize	TF	MYB
Maize	TF	Orphans
Maize	TF	MYB-related
Maize	TF	Orphans
Maize	TF	MADS
Maize	TF	LBD
Maize	TF	Orphans
Maize	TF	Orphans
Maize	TF	GRAS
Maize	Coreg	Aux/IAA
Maize	Coreg	MED6
Maize	Coreg	PHD
Maize	Coreg	BSD
Maize	Coreg	Aux/IAA
Maize	Coreg	TRAF
Maize	Coreg	PHD
Maize	Coreg	SNF2
Maize	Coreg	PHD
Maize	Coreg	MBF1
Maize	Coreg	GNAT
Maize	Coreg	TRAF
Maize	Coreg	MED26
Maize	Coreg	MED26
Maize	Coreg	MED26
Maize	Coreg	SNF2
Maize	Coreg	JUMONJI
Maize	Coreg	PHD
Maize	TF	AP2-EREBP
Maize	TF	bHLH
Maize	TF	LBD
Maize	TF	MYB-related
Maize	TF	C2H2
Maize	TF	Homeobox
Maize	TF	bHLH
Maize	TF	AP2-EREBP
Maize	TF	HSF
Maize	TF	NAC
Maize	TF	ARR-B
Maize	TF	NAC
Maize	TF	MADS
Maize	TF	C2C2-YABBY
Maize	TF	Rcd1-like
Maize	TF	Orphans
Maize	TF	Orphans
Maize	TF	GRAS
Maize	TF	AP2-EREBP
Maize	TF	Homeobox
Maize	TF	bHLH
Maize	TF	ABI3-VP1
Maize	TF	ZIM
Maize	TF	ZIM
Maize	TF	ZIM
Maize	TF	AP2-EREBP
Maize	TF	AP2-EREBP
Maize	TF	bHLH
Maize	TF	Homeobox
Maize	TF	NAC
Maize	TF	Orphans
Maize	TF	Orphans
Maize	TF	Orphans
Maize	TF	MYB
Maize	TF	C2C2-GATA
Maize	TF	LBD
Maize	TF	E2F-DP
Maize	TF	Orphans
Maize	TF	G2-like
Maize	TF	bZIP
Maize	TF	Homeobox
Maize	TF	MADS
Maize	TF	bHLH
Maize	TF	NAC
Maize	TF	Homeobox
Maize	TF	GRAS
Maize	TF	Homeobox
Maize	TF	Trihelix
Maize	TF	NAC
Maize	TF	ABI3-VP1
Maize	TF	bHLH
Maize	TF	MADS
Maize	TF	Homeobox
Maize	TF	Homeobox
Maize	TF	OVATE
Maize	TF	NAC
Maize	TF	bZIP
Maize	TF	G2-like
Maize	TF	bHLH
Maize	TF	bHLH
Maize	TF	NLP
Maize	TF	NAC
Maize	TF	bHLH
Maize	TF	Orphans
Maize	TF	Orphans
Maize	TF	Orphans
Maize	TF	BZR
Maize	TF	Orphans
Maize	TF	MYB
Maize	TF	LBD
Maize	TF	LBD
Maize	TF	AP2-EREBP
Maize	TF	E2F-DP
Maize	TF	OVATE
Maize	TF	bHLH
Maize	TF	HSF
Maize	TF	Homeobox
Maize	TF	C2C2-Dof
Maize	TF	Homeobox
Maize	TF	bHLH
Maize	TF	bHLH
Maize	TF	AP2-EREBP
Maize	TF	CCAAT-HAP2
Maize	TF	AP2-EREBP
Maize	TF	ZIM
Maize	TF	ZIM
Maize	TF	ZIM
Maize	TF	AP2-EREBP
Maize	TF	AP2-EREBP
Maize	TF	AP2-EREBP
Maize	TF	AP2-EREBP
Maize	TF	ABI3-VP1
Maize	TF	MADS
Maize	TF	bHLH
Maize	TF	Homeobox
Maize	TF	CAMTA
Maize	TF	AP2-EREBP
Maize	TF	Orphans
Maize	TF	AP2-EREBP
Maize	TF	Orphans
Maize	TF	AP2-EREBP
Maize	TF	Orphans
Maize	TF	AP2-EREBP
Maize	TF	Orphans
Maize	TF	Homeobox
Maize	TF	OVATE
Maize	TF	NAC
Maize	TF	ABI3-VP1
Maize	TF	Homeobox
Maize	TF	C2C2-YABBY
Maize	TF	MADS
Maize	TF	ARR-B
Maize	TF	HSF
Maize	TF	bHLH
Maize	TF	Homeobox
Maize	TF	ZIM
Maize	TF	C2H2
Maize	TF	bZIP
Maize	TF	MYB-related
Maize	TF	LBD
Maize	TF	CCAAT-HAP5
Maize	TF	FAR1-like
