genename	element
GRMZM2G026833	TF
GRMZM2G435294	TF
GRMZM2G392306	TF
GRMZM2G113888	TF
GRMZM2G152415	TF
GRMZM5G852704	TF
GRMZM5G814279	TF
GRMZM2G033413	TF
GRMZM2G066373	TF
GRMZM2G033915	TF
GRMZM2G005066	TF
GRMZM2G067743	TF
GRMZM2G169709	TF
GRMZM2G160005	TF
GRMZM2G171179	TF
GRMZM2G024530	TF
GRMZM2G067053	TF
GRMZM2G067654	TF
GRMZM2G409974	TF
GRMZM2G156006	TF
GRMZM2G149132	TF
GRMZM2G402156	TF
GRMZM2G301860	TF
GRMZM2G017349	TF
GRMZM2G531231	TF
GRMZM2G429378	TF
GRMZM2G003551	TF
GRMZM2G028594	TF
AC193630.3_FG003	TF
GRMZM2G073982	TF
GRMZM2G134260	TF
GRMZM2G106276	TF
GRMZM2G171395	TF
GRMZM2G118690	TF
AC234164.1_FG004	TF
GRMZM2G119359	TF
GRMZM2G044824	TF
GRMZM2G135052	TF
GRMZM2G051785	TF
GRMZM2G041668	TF
GRMZM2G440219	TF
GRMZM2G459156	TF
GRMZM2G163914	TF
GRMZM2G405368	TF
GRMZM2G167576	TF
GRMZM2G013398	TF
GRMZM2G395842	TF
GRMZM2G115721	TF
GRMZM2G076272	TF
GRMZM2G173090	TF
GRMZM2G333083	TF
GRMZM2G104074	TF
GRMZM2G045109	TF
GRMZM2G121897	TF
GRMZM2G099577	TF
GRMZM2G073047	TF
GRMZM2G118047	TF
GRMZM5G812774	TF
GRMZM2G110582	TF
GRMZM2G340177	TF
GRMZM2G039586	TF
GRMZM2G088096	TF
GRMZM2G140355	TF
GRMZM2G163641	TF
GRMZM2G148940	TF
GRMZM2G158734	TF
GRMZM2G416652	TF
GRMZM2G167088	TF
GRMZM2G004090	TF
GRMZM2G050912	TF
GRMZM2G055243	TF
GRMZM2G160730	TF
GRMZM5G803308	TF
GRMZM2G104866	TF
GRMZM2G407631	TF
GRMZM5G870753	TF
GRMZM2G025812	TF
GRMZM5G883993	TF
GRMZM2G151689	TF
GRMZM2G060290	TF
GRMZM2G360541	TF
GRMZM2G360523	TF
GRMZM2G378653	TF
GRMZM2G065394	TF
GRMZM2G114680	TF
GRMZM2G111711	TF
GRMZM2G398615	TF
GRMZM2G091061	TF
GRMZM2G047376	TF
GRMZM2G104076	TF
GRMZM2G107886	TF
GRMZM2G139082	TF
GRMZM2G038783	TF
GRMZM2G025579	TF
GRMZM2G103647	TF
GRMZM2G081671	TF
GRMZM2G124421	TF
GRMZM2G170148	TF
GRMZM2G454449	TF
GRMZM2G049229	TF
GRMZM2G349376	TF
GRMZM2G093270	TF
GRMZM2G428470	TF
GRMZM2G034110	TF
GRMZM5G889719	TF
GRMZM2G004483	TF
GRMZM2G101058	TF
GRMZM2G117949	TF
GRMZM2G098179	TF
GRMZM2G431243	TF
GRMZM2G302873	TF
GRMZM2G150213	TF
GRMZM2G077495	TF
GRMZM2G359304	TF
GRMZM2G171428	TF
GRMZM2G114820	TF
GRMZM2G137869	TF
GRMZM2G070034	TF
GRMZM2G142999	TF
GRMZM2G009163	TF
GRMZM2G108272	TF
GRMZM2G108309	TF
GRMZM2G072573	TF
GRMZM2G030458	TF
GRMZM2G157716	TF
GRMZM2G084397	TF
GRMZM2G151295	TF
GRMZM2G086614	TF
GRMZM2G042494	TF
GRMZM2G159500	TF
GRMZM2G162481	TF
GRMZM2G317584	TF
GRMZM2G060918	TF
GRMZM2G134279	TF
GRMZM2G056099	TF
GRMZM2G326783	TF
GRMZM2G066734	TF
GRMZM2G022686	TF
GRMZM2G006429	TF
GRMZM2G700011	TF
GRMZM2G465287	TF
GRMZM2G128953	TF
GRMZM2G145568	TF
GRMZM2G095727	TF
GRMZM2G103247	TF
GRMZM2G098784	TF
GRMZM2G435290	Coreg
GRMZM2G017537	Coreg
GRMZM2G455243	Coreg
GRMZM2G167207	Coreg
GRMZM2G001799	Coreg
GRMZM2G000909	Coreg
GRMZM2G156129	Coreg
GRMZM2G472428	Coreg
GRMZM2G071613	Coreg
GRMZM2G051135	Coreg
GRMZM2G050137	Coreg
GRMZM2G009724	Coreg
AC234158.1_FG005	Coreg
GRMZM5G812289	Coreg
GRMZM2G178663	Coreg
GRMZM2G007922	Coreg
GRMZM2G428933	Coreg
GRMZM5G889372	Coreg
GRMZM2G007406	TF
GRMZM2G043854	TF
GRMZM2G150594	TF
GRMZM2G152319	TF
GRMZM2G074032	TF
GRMZM2G105834	TF
GRMZM2G407119	TF
GRMZM2G021573	TF
GRMZM2G026742	TF
GRMZM2G126936	TF
GRMZM2G126834	TF
GRMZM5G894234	TF
GRMZM2G102161	TF
GRMZM2G102218	TF
GRMZM2G386923	TF
GRMZM2G130943	TF
GRMZM2G154149	TF
GRMZM2G028039	TF
GRMZM2G113060	TF
AC233899.1_FG004	TF
AC233899.1_FG002	TF
GRMZM2G028794	TF
GRMZM2G036351	TF
GRMZM2G036349	TF
GRMZM2G036288	TF
GRMZM2G376255	TF
GRMZM2G399098	TF
AC149829.2_FG004	TF
GRMZM2G178741	TF
GRMZM2G126817	TF
GRMZM2G126802	TF
GRMZM2G010017	TF
GRMZM2G057529	TF
GRMZM2G089686	TF
GRMZM2G532534	TF
AC149818.2_FG009	TF
GRMZM2G063387	TF
GRMZM2G030882	TF
GRMZM2G374986	TF
GRMZM2G473274	TF
GRMZM2G060507	TF
GRMZM2G171365	TF
GRMZM2G171464	TF
GRMZM2G174070	TF
GRMZM2G109987	TF
GRMZM2G060265	TF
GRMZM2G042250	TF
GRMZM2G314660	TF
GRMZM2G406204	TF
GRMZM2G082227	TF
GRMZM2G475289	TF
GRMZM2G026223	TF
GRMZM2G159431	TF
GRMZM2G327059	TF
GRMZM2G055737	TF
GRMZM2G025642	TF
GRMZM2G428184	TF
GRMZM5G887276	TF
GRMZM2G137374	TF
GRMZM2G137380	TF
GRMZM2G109509	TF
GRMZM2G059428	TF
GRMZM2G173372	TF
AC155624.2_FG006	TF
GRMZM5G833774	TF
GRMZM5G891266	TF
GRMZM2G152172	TF
GRMZM2G474258	TF
GRMZM2G054111	TF
GRMZM2G092483	TF
GRMZM2G092542	TF
AC198979.4_FG009	TF
GRMZM2G086072	TF
GRMZM2G096252	TF
GRMZM2G452996	TF
GRMZM2G165972	TF
GRMZM2G004641	TF
GRMZM2G162749	TF
GRMZM2G139963	TF
GRMZM2G035156	TF
GRMZM2G159456	TF
GRMZM2G419901	TF
GRMZM2G000686	TF
GRMZM2G399072	TF
GRMZM2G343157	TF
GRMZM5G838098	TF
GRMZM2G445634	TF
GRMZM2G129674	TF
GRMZM2G018984	TF
AC206951.3_FG016	TF
AC206951.3_FG017	TF
GRMZM2G109480	TF
GRMZM2G059102	TF
GRMZM2G006631	TF
GRMZM2G132367	TF
GRMZM2G447551	TF
GRMZM2G003466	TF
GRMZM2G004523	TF
AC200038.4_FG011	TF
GRMZM2G703514	TF
GRMZM2G461907	TF
GRMZM2G461905	TF
GRMZM2G415251	TF
GRMZM2G114055	TF
GRMZM2G005624	TF
GRMZM2G121706	TF
GRMZM2G077045	TF
GRMZM2G160224	TF
GRMZM2G038252	TF
GRMZM2G088309	TF
GRMZM2G099522	TF
GRMZM2G099797	TF
GRMZM2G118485	TF
GRMZM2G180452	TF
GRMZM2G126808	TF
GRMZM2G110131	TF
GRMZM2G465595	TF
GRMZM2G157177	TF
GRMZM2G085427	TF
GRMZM2G110913	TF
GRMZM2G089812	TF
GRMZM2G001663	TF
GRMZM2G072376	TF
GRMZM2G015281	TF
GRMZM2G055263	TF
GRMZM2G010855	TF
GRMZM2G356459	TF
GRMZM2G100086	TF
GRMZM2G408887	TF
GRMZM2G049159	TF
GRMZM2G112925	TF
AC233935.1_FG005	TF
GRMZM2G021095	TF
AC208201.3_FG002	TF
GRMZM2G308034	TF
GRMZM2G427438	TF
GRMZM2G129872	TF
GRMZM2G016020	TF
GRMZM2G057027	TF
GRMZM2G151934	Coreg
GRMZM2G096352	Coreg
GRMZM2G136389	Coreg
GRMZM2G178072	Coreg
AC149475.2_FG005	Coreg
AC149475.2_FG007	Coreg
