species	element	familyname
Rice	TF	AP2-EREBP
Rice	TF	AP2-EREBP
Rice	TF	NLP
Rice	TF	MYB
Rice	TF	G2-like
Rice	TF	bZIP
Rice	TF	bZIP
Rice	TF	G2-like
Rice	TF	Orphans
Rice	TF	WHIRLY
Rice	TF	bZIP
Rice	TF	G2-like
Rice	TF	GRAS
Rice	TF	WRKY
Rice	TF	MYB
Rice	TF	ARID
Rice	TF	C2C2-GATA
Rice	TF	MYB
Rice	TF	Homeobox
Rice	TF	bZIP
Rice	TF	C3H
Rice	TF	CCAAT-HAP3
Rice	TF	MYB
Rice	TF	bHLH
Rice	TF	Orphans
Rice	TF	AP2-EREBP
Rice	TF	AP2-EREBP
Rice	TF	SBP
Rice	TF	bHLH
Rice	TF	NAC
Rice	TF	TUB
Rice	TF	C2C2-GATA
Rice	TF	NLP
Rice	TF	C2H2
Rice	TF	AP2-EREBP
Rice	TF	MYB
Rice	TF	AP2-EREBP
Rice	TF	GRF
Rice	TF	AP2-EREBP
Rice	TF	AP2-EREBP
Rice	TF	GRAS
Rice	TF	bHLH
Rice	TF	C3H
Rice	TF	MADS
Rice	TF	HSF
Rice	TF	bHLH
Rice	TF	NAC
Rice	TF	Homeobox
Rice	TF	AP2-EREBP
Rice	TF	bHLH
Rice	TF	AP2-EREBP
Rice	TF	CCAAT-HAP5
Rice	TF	TCP
Rice	TF	GRAS
Rice	TF	AP2-EREBP
Rice	TF	NAC
Rice	TF	bHLH
Rice	TF	NAC
Rice	TF	NAC
Rice	TF	BBR/BPC
Rice	TF	NAC
Rice	TF	MYB
Rice	TF	MYB
Rice	TF	C2C2-GATA
Rice	TF	C3H
Rice	TF	bHLH
Rice	TF	Orphans
Rice	TF	GeBP
Rice	TF	Homeobox
Rice	TF	NAC
Rice	TF	bZIP
Rice	TF	Orphans
Rice	TF	bZIP
Rice	TF	ARF
Rice	TF	C2C2-YABBY
Rice	TF	Homeobox
Rice	TF	MYB-related
Rice	TF	AP2-EREBP
Rice	TF	C3H
Rice	TF	bHLH
Rice	TF	WRKY
Rice	TF	AP2-EREBP
Rice	TF	bZIP
Rice	TF	bHLH
Rice	TF	WRKY
Rice	TF	C2C2-GATA
Rice	TF	MYB
Rice	TF	C2C2-Dof
Rice	TF	bHLH
Rice	TF	NAC
Rice	TF	AP2-EREBP
Rice	TF	SBP
Rice	TF	MADS
Rice	TF	AP2-EREBP
Rice	TF	bHLH
Rice	TF	bZIP
Rice	TF	BZR
Rice	TF	ZF-HD
Rice	TF	WRKY
Rice	TF	Orphans
Rice	TF	VOZ
Rice	TF	NAC
Rice	TF	NAC
Rice	TF	MYB-related
Rice	TF	CCAAT-HAP5
Rice	TF	Orphans
Rice	TF	Orphans
Rice	TF	Homeobox
Rice	TF	Orphans
Rice	TF	ARF
Rice	TF	Orphans
Rice	TF	ARR-B
Rice	TF	AP2-EREBP
Rice	TF	Orphans
Rice	TF	MYB
Rice	TF	GRF
Rice	TF	ARR-B
Rice	TF	Orphans
Rice	TF	MYB
Rice	TF	bZIP
Rice	TF	CCAAT-HAP5
Rice	TF	TCP
Rice	TF	GRAS
Rice	TF	Orphans
Rice	TF	NAC
Rice	TF	MYB
Rice	TF	C2C2-Dof
Rice	TF	WRKY
Rice	TF	C2C2-CO-like
Rice	TF	AP2-EREBP
Rice	TF	WRKY
Rice	TF	NAC
Rice	TF	bHLH
Rice	TF	WRKY
Rice	TF	Homeobox
Rice	TF	C2C2-CO-like
Rice	TF	AP2-EREBP
Rice	TF	AP2-EREBP
Rice	TF	Homeobox
Rice	TF	C3H
Rice	TF	WRKY
Rice	TF	Orphans
Rice	TF	G2-like
Rice	TF	AP2-EREBP
Rice	TF	MYB-related
Rice	TF	bHLH
Rice	TF	WRKY
Rice	TF	AP2-EREBP
Rice	TF	AP2-EREBP
Rice	TF	NAC
Rice	TF	C2C2-Dof
Rice	TF	ARR-B
Rice	TF	GRAS
Rice	Coreg	PHD
Rice	Coreg	PHD
Rice	Coreg	JUMONJI
Rice	Coreg	PHD
Rice	TF	MYB
Rice	TF	ABI3-VP1
Rice	TF	G2-like
Rice	TF	NAC
Rice	TF	TUB
Rice	TF	C2C2-GATA
Rice	TF	MYB
Rice	TF	ABI3-VP1
Rice	TF	bZIP
Rice	TF	AP2-EREBP
Rice	TF	MYB-related
Rice	TF	Homeobox
Rice	TF	bZIP
Rice	TF	C2C2-Dof
Rice	TF	CCAAT-HAP5
Rice	TF	bHLH
Rice	TF	Homeobox
Rice	TF	WRKY
Rice	TF	TUB
Rice	TF	Orphans
Rice	TF	MYB-related
Rice	TF	Trihelix
Rice	TF	ZIM
Rice	TF	AP2-EREBP
Rice	TF	E2F-DP
Rice	TF	GRAS
Rice	TF	bHLH
Rice	TF	MYB
Rice	TF	TCP
Rice	TF	MYB
Rice	TF	NAC
Rice	TF	Homeobox
Rice	TF	MADS
Rice	TF	MADS
Rice	TF	C2C2-GATA
Rice	TF	bHLH
Rice	TF	CPP
Rice	TF	AP2-EREBP
Rice	TF	MYB-related
Rice	TF	ARR-B
Rice	TF	TCP
Rice	TF	Orphans
Rice	TF	TUB
Rice	TF	bZIP
Rice	TF	AP2-EREBP
Rice	TF	ARF
Rice	TF	Homeobox
Rice	TF	Alfin-like
Rice	TF	C2C2-YABBY
Rice	TF	NAC
Rice	TF	bHLH
Rice	TF	Orphans
Rice	TF	AP2-EREBP
Rice	TF	NAC
Rice	TF	bZIP
Rice	TF	WRKY
Rice	TF	TCP
Rice	TF	bHLH
Rice	TF	G2-like
Rice	TF	WRKY
Rice	TF	MYB-related
Rice	TF	MADS
Rice	TF	bHLH
Rice	TF	Homeobox
Rice	TF	bHLH
Rice	TF	WRKY
Rice	TF	C3H
Rice	TF	Orphans
Rice	TF	NAC
Rice	TF	MYB
Rice	TF	NAC
Rice	TF	GRAS
Rice	TF	WRKY
Rice	TF	MADS
Rice	TF	WRKY
Rice	TF	AP2-EREBP
Rice	TF	bZIP
Rice	TF	bZIP
Rice	TF	GRAS
Rice	TF	Orphans
Rice	TF	GRF
Rice	TF	bHLH
Rice	TF	bZIP
Rice	TF	Orphans
Rice	TF	AP2-EREBP
Rice	TF	NAC
Rice	TF	AP2-EREBP
Rice	TF	G2-like
Rice	TF	MYB-related
Rice	TF	bHLH
Rice	TF	NAC
Rice	TF	C3H
Rice	TF	SBP
Rice	TF	bZIP
Rice	TF	bZIP
Rice	TF	bZIP
Rice	TF	NAC
Rice	TF	MYB
Rice	TF	MYB
Rice	TF	MYB
Rice	TF	TCP
Rice	TF	GRAS
Rice	TF	bZIP
Rice	TF	NAC
Rice	TF	Homeobox
Rice	TF	MADS
Rice	TF	CCAAT-HAP2
Rice	TF	MYB
Rice	TF	WRKY
Rice	TF	bZIP
Rice	TF	G2-like
Rice	TF	Orphans
Rice	TF	Homeobox
Rice	TF	MYB
Rice	TF	bHLH
Rice	TF	HSF
Rice	TF	MADS
Rice	TF	Alfin-like
Rice	TF	Homeobox
Rice	TF	NAC
