species	element	familyname
Sorghum	TF	bZIP
Sorghum	TF	WRKY
Sorghum	TF	C2C2-CO-like
Sorghum	TF	bHLH
Sorghum	TF	MADS
Sorghum	TF	MADS
Sorghum	TF	MADS
Sorghum	TF	MYB
Sorghum	TF	TCP
Sorghum	TF	AP2-EREBP
Sorghum	TF	AP2-EREBP
Sorghum	TF	G2-like
Sorghum	TF	MYB-related
Sorghum	TF	CCAAT-HAP2
Sorghum	TF	Orphans
Sorghum	TF	NAC
Sorghum	TF	bHLH
Sorghum	TF	MADS
Sorghum	TF	GRAS
Sorghum	TF	AP2-EREBP
Sorghum	TF	Orphans
Sorghum	TF	GRAS
Sorghum	TF	MADS
Sorghum	TF	MADS
Sorghum	TF	WRKY
Sorghum	TF	Orphans
Sorghum	TF	C2C2-GATA
Sorghum	TF	BZR
Sorghum	TF	Orphans
Sorghum	TF	Homeobox
Sorghum	TF	bHLH
Sorghum	TF	MYB
Sorghum	TF	MYB
Sorghum	TF	MYB
Sorghum	TF	BBR/BPC
Sorghum	TF	NAC
Sorghum	TF	AP2-EREBP
Sorghum	TF	bZIP
Sorghum	TF	Orphans
Sorghum	TF	AP2-EREBP
Sorghum	TF	bZIP
Sorghum	TF	ARID
Sorghum	TF	bZIP
Sorghum	TF	bHLH
Sorghum	TF	Orphans
Sorghum	TF	bHLH
Sorghum	TF	C2H2
Sorghum	TF	Orphans
Sorghum	TF	Homeobox
Sorghum	TF	Homeobox
Sorghum	TF	Alfin-like
Sorghum	TF	bHLH
Sorghum	TF	MYB
Sorghum	TF	SBP
Sorghum	TF	TUB
Sorghum	TF	E2F-DP
Sorghum	TF	NAC
Sorghum	TF	C3H
Sorghum	TF	bHLH
Sorghum	TF	MYB
Sorghum	TF	C3H
Sorghum	TF	bZIP
Sorghum	TF	Alfin-like
Sorghum	TF	NAC
Sorghum	TF	AP2-EREBP
Sorghum	TF	NAC
Sorghum	TF	C2C2-GATA
Sorghum	TF	C2H2
Sorghum	TF	SBP
Sorghum	TF	Orphans
Sorghum	TF	bZIP
Sorghum	TF	MADS
Sorghum	TF	G2-like
Sorghum	TF	Orphans
Sorghum	TF	C3H
Sorghum	TF	AP2-EREBP
Sorghum	TF	bZIP
Sorghum	TF	WHIRLY
Sorghum	TF	bHLH
Sorghum	TF	Orphans
Sorghum	TF	ZIM
Sorghum	TF	MADS
Sorghum	TF	AP2-EREBP
Sorghum	TF	C2C2-GATA
Sorghum	TF	ABI3-VP1
Sorghum	TF	GRAS
Sorghum	TF	GRAS
Sorghum	TF	NAC
Sorghum	TF	MYB
Sorghum	TF	MYB-related
Sorghum	TF	ZIM
Sorghum	TF	SBP
Sorghum	TF	WRKY
Sorghum	TF	MYB
Sorghum	TF	AP2-EREBP
Sorghum	TF	C3H
Sorghum	TF	Homeobox
Sorghum	TF	NAC
Sorghum	TF	Homeobox
Sorghum	TF	NAC
Sorghum	TF	bZIP
Sorghum	TF	WRKY
Sorghum	TF	Orphans
Sorghum	TF	NAC
Sorghum	TF	bHLH
Sorghum	TF	WRKY
Sorghum	TF	TCP
Sorghum	TF	NAC
Sorghum	TF	GRAS
Sorghum	TF	C2H2
Sorghum	TF	MYB
Sorghum	TF	bZIP
Sorghum	TF	Orphans
Sorghum	TF	Homeobox
Sorghum	TF	Alfin-like
Sorghum	TF	Orphans
Sorghum	TF	bHLH
Sorghum	TF	Orphans
Sorghum	TF	ZIM
Sorghum	TF	MYB-related
Sorghum	TF	E2F-DP
Sorghum	TF	TCP
Sorghum	TF	Orphans
Sorghum	TF	C2H2
Sorghum	TF	ARF
Sorghum	TF	BBR/BPC
Sorghum	TF	bHLH
Sorghum	TF	WRKY
Sorghum	TF	Orphans
Sorghum	TF	MADS
Sorghum	TF	Orphans
Sorghum	TF	bZIP
Sorghum	TF	Homeobox
Sorghum	TF	GRAS
Sorghum	TF	bHLH
Sorghum	TF	MYB
Sorghum	TF	HSF
Sorghum	TF	Orphans
Sorghum	TF	Homeobox
Sorghum	TF	bHLH
