species	element	familyname
Sugarcane	TF	AP2-EREBP
Sugarcane	TF	C3H
Sugarcane	TF	Homeobox
Sugarcane	TF	GRAS
Sugarcane	TF	bHLH
Sugarcane	TF	AP2-EREBP
Sugarcane	TF	ZIM
Sugarcane	TF	Orphans
Sugarcane	TF	NAC
Sugarcane	TF	C3H
Sugarcane	TF	Trihelix
Sugarcane	TF	MADS
Sugarcane	TF	G2-like
Sugarcane	TF	C2C2-Dof
Sugarcane	TF	BBR/BPC
Sugarcane	TF	GRAS
Sugarcane	TF	C2C2-Dof
Sugarcane	TF	bZIP
Sugarcane	TF	GRAS
Sugarcane	TF	AP2-EREBP
Sugarcane	TF	AP2-EREBP
Sugarcane	TF	C2C2-Dof
Sugarcane	TF	bHLH
Sugarcane	TF	C3H
Sugarcane	TF	Orphans
Sugarcane	TF	AP2-EREBP
Sugarcane	TF	NAC
Sugarcane	TF	GRAS
Sugarcane	TF	SBP
Sugarcane	TF	MADS
Sugarcane	TF	MADS
Sugarcane	TF	Orphans
Sugarcane	TF	Alfin-like
Sugarcane	TF	MYB-related
Sugarcane	TF	MYB
Sugarcane	TF	SBP
Sugarcane	TF	Orphans
Sugarcane	TF	GRAS
Sugarcane	TF	MYB
Sugarcane	TF	AP2-EREBP
Sugarcane	TF	C3H
Sugarcane	TF	bZIP
Sugarcane	TF	Homeobox
Sugarcane	TF	Orphans
Sugarcane	TF	bHLH
Sugarcane	TF	bHLH
Sugarcane	TF	MYB
Sugarcane	TF	Orphans
Sugarcane	TF	TUB
Sugarcane	TF	ARF
Sugarcane	TF	Homeobox
Sugarcane	TF	Alfin-like
Sugarcane	TF	C2C2-YABBY
Sugarcane	TF	NAC
Sugarcane	TF	Orphans
Sugarcane	TF	NAC
Sugarcane	TF	ZIM
Sugarcane	TF	AP2-EREBP
Sugarcane	TF	MYB
Sugarcane	TF	C2C2-Dof
Sugarcane	TF	WRKY
Sugarcane	TF	C2C2-GATA
Sugarcane	TF	WRKY
Sugarcane	TF	bZIP
Sugarcane	TF	GRAS
Sugarcane	TF	C2H2
Sugarcane	TF	Homeobox
Sugarcane	TF	MADS
Sugarcane	TF	NAC
Sugarcane	TF	bHLH
Sugarcane	TF	G2-like
Sugarcane	TF	ABI3-VP1
Sugarcane	TF	Homeobox
Sugarcane	TF	bZIP
Sugarcane	TF	C3H
Sugarcane	TF	Alfin-like
Sugarcane	TF	NLP
Sugarcane	TF	C2C2-Dof
Sugarcane	TF	bHLH
Sugarcane	TF	C2C2-Dof
Sugarcane	TF	GRAS
Sugarcane	TF	ARID
Sugarcane	TF	MYB
Sugarcane	TF	C3H
Sugarcane	TF	AP2-EREBP
Sugarcane	TF	AP2-EREBP
Sugarcane	TF	NAC
Sugarcane	TF	C2C2-Dof
Sugarcane	TF	WRKY
Sugarcane	TF	bZIP
Sugarcane	TF	GRAS
Sugarcane	TF	MYB
Sugarcane	TF	Homeobox
Sugarcane	TF	bHLH
Sugarcane	TF	NAC
Sugarcane	TF	MADS
Sugarcane	TF	C3H
Sugarcane	TF	ARF
Sugarcane	TF	C3H
Sugarcane	TF	BZR
Sugarcane	TF	AP2-EREBP
Sugarcane	TF	E2F-DP
Sugarcane	TF	ZIM
Sugarcane	TF	NAC
Sugarcane	TF	ABI3-VP1
