genename	element
SCQSHR1020H09.g	TF
PTSo00349.1	TF
SCBGLR1099G06.g	TF
PTSo00527.1	TF
SCEPRT2043C06.g	TF
SCVPRZ3026C06.g	TF
PTSo01053.1	TF
SCQSLR1040B09.g	TF
SCMCSB1109C11.g	TF
PTSo00343.1	TF
PTSo01028.1	TF
SCCCFL4003G08.g	TF
PTSo00476.1	TF
SCRLLR1111E05.g	TF
SCRUSB1078B10.g	TF
PTSo00550.1	TF
SCQGAM2110B09.g	TF
SCJFLR1035G11.g	TF
PTSo00526.1	TF
SCAGLR1064B04.g	TF
PTSo00067.1	TF
SCMCCL6053D03.g	TF
SCBGFL4053B04.g	TF
PTSo00350.1	TF
PTSo00404.1	TF
SCQGLR1019D12.g	TF
PTSo00909.1	TF
PTSo00544.1	TF
PTSo00986.1	TF
SCSBAM1088B05.g	TF
PTSo00785.1	TF
SCJFRT1007A12.g	TF
SCCCRT2001B02.g	TF
PTSo00864.1	TF
SCJFRZ2014C04.g	TF
SCVPFL1135A11.g	TF
SCEZLB1006C01.g	TF
PTSo00528.1	TF
SCRLLR1059C04.g	TF
SCQGRT1038G12.g	TF
PTSo00359.1	TF
SCJFFL3C08F11.b	TF
SCAGLR1021G10.g	TF
SCAGLB1069D10.g	TF
SCEPAM2013E03.g	TF
SCCCLR1076F07.g	TF
SCMCRT2102F09.g	TF
SCSGAM2078E01.g	TF
PTSo01018.1	TF
SCCCCL3005F04.b	TF
PTSo00577.1	TF
SCQSLB1052G02.g	TF
PTSo00295.1	TF
SCCCRZ1004G12.g	TF
SCVPFL1072E07.g	TF
SCEZRT2023G12.g	TF
PTSo01072.1	TF
SCRLSD1012F04.g	TF
SCRULB1057G12.g	TF
SCSFSD1067B09.g	TF
SCSFHR1042G07.g	TF
SCCCRZ2001C02.g	TF
SCVPFL1065B09.g	TF
SCJFLR1035B10.g	TF
PTSo00545.1	TF
PTSo00320.1	TF
SCMCCL6050H05.g	TF
PTSo00787.1	TF
PTSo00907.1	TF
SCCCFL4095H11.g	TF
PTSo00497.1	TF
SCJLLR1104A12.g	TF
SCEPRZ1010C07.g	TF
