gene_name	clone_name
GRMZM2G177386	pUT6499
GRMZM2G074824	pUT6533
GRMZM2G176327	pUT3148
GRMZM2G070211	pUT5428
GRMZM2G028041	pUT5429
GRMZM2G013391	pUT5430
GRMZM2G061101	pUT5431
GRMZM2G147716	pUT5432
AC165171.2_FG002	pUT5433
GRMZM2G040298	pUT5434
GRMZM2G130374	pUT5436
GRMZM2G002915	pUT5437
GRMZM2G102583	pUT5469
GRMZM2G003304	pUT5470
GRMZM2G021339	pUT5435
GRMZM2G002075	pUT5352
GRMZM2G149958	pUT3150
GRMZM2G087955	pUT5354
GRMZM2G121570	pUT3152
GRMZM2G013617	pUT6565
GRMZM2G108933	pUT6667
GRMZM2G131266	pUT6488
GRMZM2G334225	pUT6016
GRMZM2G064328	pUT5957
GRMZM2G115424	pUT6662
GRMZM2G028151	pUT5752
GRMZM2G107807	pUT5753
GRMZM2G008259	pUT5754
GRMZM2G050495	pUT5755
GRMZM2G031963	pUT5677
GRMZM2G149150	pUT5680
GRMZM2G125653	pUT3166
GRMZM2G015534	pUT5958
GRMZM2G448104	pUT3172
GRMZM2G073892	pUT5756
GRMZM2G093789	pUT3444
GRMZM2G171781	pUT6487
GRMZM2G150680	pUT3153
GRMZM2G147346	pUT3443
GRMZM2G020772	pUT3155
GRMZM2G040924	pUT3445
GRMZM2G017520	pUT3446
GRMZM2G001824	pUT3447
GRMZM2G056600	pUT3187
GRMZM2G174284	pUT5757
GRMZM2G016145	pUT6638
GRMZM5G857944	pUT6640
GRMZM2G085974	pUT6639
GRMZM2G172376	pUT6501
GRMZM5G829103	pUT6566
GRMZM2G147712	pUT6567
GRMZM2G133555	pUT6568
GRMZM2G058531	pUT6569
GRMZM2G398615	pUT6570
GRMZM2G165488	pUT6571
GRMZM2G091964	pUT6573
GRMZM2G473274	pUT6436
GRMZM2G153144	pUT6537
GRMZM2G169654	pUT5962
GRMZM2G163745	pUT6665
GRMZM2G083717	pUT5524
GRMZM2G099577	pUT5599
GRMZM2G100727	pUT5960
GRMZM2G122846	pUT5961
GRMZM2G172487	pUT5963
GRMZM2G171370	pUT5764
GRMZM2G139815	pUT5765
GRMZM2G028982	pUT5767
GRMZM2G434098	pUT5758
GRMZM2G127431	pUT5759
GRMZM2G044752	pUT6644
GRMZM2G420801	pUT6631
GRMZM2G416184	pUT6632
GRMZM2G155111	pUT6633
GRMZM2G047999	pUT5959
GRMZM2G050912	pUT6607
GRMZM2G119921	pUT5657
GRMZM5G821439	pUT5952
GRMZM2G055257	pUT6551
GRMZM2G079185	pUT5577
GRMZM2G169973	pUT5569
GRMZM2G375707	pUT5787
GRMZM2G044077	pUT5375
GRMZM2G016150	pUT6637
GRMZM2G081892	pUT6636
GRMZM2G120167	pUT6635
AC234160.1_FG001	pUT6600
GRMZM2G033267	pUT6680
GRMZM2G044359	pUT6486
GRMZM2G154149	pUT6598
GRMZM2G169782	pUT6599
GRMZM2G067053	pUT6608
GRMZM5G812926	pUT6610
GRMZM2G080917	pUT6601
GRMZM2G079458	pUT6505
GRMZM2G003466	pUT6506
GRMZM2G153087	pUT6507
GRMZM2G171179	pUT6509
GRMZM2G057955	pUT5788
GRMZM2G141679	pUT5789
GRMZM2G085678	pUT5790
GRMZM5G862109	pUT5791
GRMZM2G047316	pUT6622
GRMZM2G055782	pUT6437
GRMZM2G149040	pUT6015
GRMZM2G108309	pUT6495
GRMZM2G412937	pUT6496
GRMZM2G016749	pUT6497
GRMZM2G113016	pUT6502
GRMZM2G052699	pUT6477
GRMZM2G058573	pUT6478
GRMZM5G836628	pUT6503
GRMZM2G155370	pUT6504
GRMZM2G057529	pUT5982
GRMZM2G155954	pUT5983
GRMZM2G057907	pUT5984
GRMZM2G006429	pUT5985
GRMZM5G833774	pUT5986
AC208201.3_FG002	pUT5987
GRMZM2G057768	pUT5997
GRMZM2G102560	pUT6000
GRMZM2G021610	pUT6010
GRMZM2G172210	pUT6011
GRMZM2G166049	pUT6013
GRMZM2G015610	pUT6017
GRMZM2G107565	pUT6019
GRMZM2G479665	pUT6020
GRMZM5G891266	pUT6023
GRMZM2G151254	pUT6024
GRMZM2G012584	pUT6025
GRMZM2G069970	pUT6026
GRMZM2G044382	pUT6027
GRMZM2G148213	pUT6028
GRMZM2G130943	pUT6030
GRMZM2G433557	pUT6032
GRMZM2G034217	pUT6479
GRMZM2G473258	pUT6483
GRMZM2G077124	pUT6484
GRMZM2G126239	pUT6525
GRMZM2G012999	pUT6531
GRMZM2G024550	pUT5784
GRMZM5G893976	pUT5779
GRMZM2G076657	pUT5780
GRMZM5G833032	pUT5781
GRMZM2G060114	pUT5783
GRMZM2G024468	pUT5974
AC204212.4_FG001	pUT6621
GRMZM2G063864	pUT6626
GRMZM2G102161	pUT6461
GRMZM2G099522	pUT6524
GRMZM2G117497	pUT6469
GRMZM2G121753	pUT6470
GRMZM2G139174	pUT6523
GRMZM2G111117	pUT6594
GRMZM2G145041	pUT6597
GRMZM2G013581	pUT6642
GRMZM2G158117	pUT5995
GRMZM2G077147	pUT6465
GRMZM5G871463	pUT6520
AC197146.3_FG002	pUT6588
GRMZM2G017268	pUT6589
GRMZM2G023557	pUT6590
GRMZM2G441031	pUT6606
GRMZM5G863420	pUT6645
GRMZM2G097726	pUT5991
GRMZM2G048136	pUT5992
AC199820.4_FG006	pUT6471
GRMZM2G106560	pUT6475
GRMZM2G449681	pUT6611
GRMZM2G455869	pUT6466
GRMZM2G169149	pUT6474
GRMZM2G105387	pUT6462
GRMZM2G117961	pUT5990
GRMZM2G095904	pUT6464
GRMZM2G305856	pUT6468
GRMZM2G432583	pUT6472
GRMZM2G015433	pUT6522
GRMZM2G141299	pUT6591
GRMZM2G431156	pUT6596
GRMZM2G032905	pUT6619
GRMZM2G151407	pUT6652
GRMZM2G176568	pUT5993
GRMZM2G111354	pUT6521
AC209050.3_FG003	pUT6650
GRMZM2G111711	pUT6651
GRMZM2G010929	pUT5994
GRMZM2G143328	pUT6467
GRMZM2G123387	pUT6592
GRMZM2G359952	pUT6593
GRMZM2G452178	pUT6612
GRMZM2G129034	pUT6618
GRMZM2G154641	pUT6661
GRMZM2G398506	pUT5953
GRMZM2G059266	pUT5954
GRMZM2G168249	pUT5955
GRMZM5G813892	pUT5394
GRMZM2G301642	pUT5397
GRMZM2G032339	pUT5368
GRMZM2G160565	pUT5423
GRMZM2G143046	pUT5565
GRMZM2G177974	pUT5357
GRMZM2G151542	pUT6434
GRMZM2G026223	pUT5425
GRMZM2G173633	pUT5438
GRMZM2G162709	pUT5439
GRMZM2G046438	pUT5440
GRMZM2G170148	pUT5441
GRMZM2G006578	pUT5460
GRMZM2G111204	pUT5461
GRMZM2G126170	pUT5462
GRMZM2G000818	pUT5390
GRMZM2G056407	pUT5393
GRMZM5G880069	pUT5402
GRMZM2G174834	pUT5405
GRMZM2G122076	pUT5675
GRMZM2G307119	pUT5407
GRMZM2G130442	pUT5457
GRMZM2G110333	pUT5451
GRMZM2G030280	pUT5362
GRMZM5G816457	pUT6442
GRMZM2G057386	pUT5360
GRMZM2G093660	pUT5365
GRMZM2G112764	pUT5358
GRMZM2G137510	pUT5364
GRMZM2G030877	pUT5455
GRMZM2G549512	pUT5367
GRMZM2G073427	pUT5363
GRMZM2G151295	pUT5419
GRMZM2G133331	pUT5420
GRMZM2G448607	pUT5422
GRMZM2G169966	pUT5443
GRMZM2G013657	pUT5452
GRMZM2G317160	pUT5454
GRMZM2G052671	pUT5359
GRMZM2G049378	pUT5395
GRMZM2G088524	pUT5398
GRMZM2G108892	pUT5399
GRMZM2G029850	pUT5400
GRMZM2G422083	pUT5401
GRMZM2G151763	pUT5403
GRMZM2G050851	pUT5406
GRMZM2G113060	pUT5410
GRMZM2G093595	pUT5411
GRMZM2G363052	pUT5412
GRMZM2G076602	pUT5413
GRMZM2G069082	pUT5414
