genename	familyname
Sb09g021580	bZIP
Sb03g028440	WRKY
Sb04g025660	C2C2-CO-like
Sb02g035870	bHLH
Sb10g004390	MADS
Sb10g029810	MADS
Sb04g000500	MADS
Sb02g024260	MYB
Sb06g002260	TCP
Sb05g022110	AP2-EREBP
Sb06g025890	AP2-EREBP
Sb10g008400	G2-like
Sb09g003290	MYB-related
Sb02g038960	CCAAT-HAP2
Sb06g023960	Orphans
Sb07g003900	NAC
Sb07g000910	bHLH
Sb02g001090	MADS
Sb05g027780	GRAS
Sb01g046920	AP2-EREBP
Sb01g005086	Orphans
Sb05g027790	GRAS
Sb02g005005	MADS
Sb02g006710	MADS
Sb04g030930	WRKY
Sb04g012650	Orphans
Sb09g028850	C2C2-GATA
Sb04g008400	BZR
Sb03g034245	Orphans
Sb03g034510	Homeobox
Sb02g027430	bHLH
Sb01g009870	MYB
Sb03g007360	MYB
Sb06g024510	MYB
Sb02g009770	BBR/BPC
Sb05g005450	NAC
Sb0239s002020	AP2-EREBP
Sb08g003760	bZIP
Sb07g002945	Orphans
Sb04g027180	AP2-EREBP
Sb06g030100	bZIP
Sb01g020470	ARID
Sb10g030400	bZIP
Sb04g027280	bHLH
Sb10g006810	Orphans
Sb04g031250	bHLH
Sb01g041630	C2H2
Sb02g010680	Orphans
Sb01g050000	Homeobox
Sb01g011960	Homeobox
Sb09g020610	Alfin-like
Sb06g025020	bHLH
Sb07g008580	MYB
Sb03g011920	SBP
Sb09g028330	TUB
Sb01g021000	E2F-DP
Sb03g003170	NAC
Sb10g024330	C3H
Sb07g025310	bHLH
Sb02g012860	MYB
Sb03g025780	C3H
Sb02g001970	bZIP
Sb03g042180	Alfin-like
Sb01g049240	NAC
Sb09g021540	AP2-EREBP
Sb06g034010	NAC
Sb03g047520	C2C2-GATA
Sb08g001310	C2H2
Sb04g003175	SBP
Sb09g005870	Orphans
Sb04g008840	bZIP
Sb04g033930	MADS
Sb07g004100	G2-like
Sb01g013960	Orphans
Sb01g011150	C3H
Sb03g037080	AP2-EREBP
Sb03g006790	bZIP
Sb10g003170	WHIRLY
Sb04g027930	bHLH
Sb02g042000	Orphans
Sb01g045190	ZIM
Sb02g037430	MADS
Sb02g006023	AP2-EREBP
Sb03g034360	C2C2-GATA
Sb06g032870	ABI3-VP1
Sb05g001500	GRAS
Sb01g015170	GRAS
Sb04g023990	NAC
Sb07g003320	MYB
Sb02g034880	MYB-related
Sb01g023290	ZIM
Sb07g027420	SBP
Sb02g008880	WRKY
Sb08g004250	MYB
Sb03g040450	AP2-EREBP
Sb04g006450	C3H
Sb07g029150	Homeobox
Sb01g048730	NAC
Sb10g022210	Homeobox
Sb05g004880	NAC
Sb03g040530	bZIP
Sb03g038210	WRKY
Sb02g040960	Orphans
Sb02g043270	NAC
Sb05g019530	bHLH
Sb06g019710	WRKY
Sb09g025340	TCP
Sb02g043210	NAC
Sb05g027785	GRAS
Sb04g022470	C2H2
Sb02g013010	MYB
Sb07g025270	bZIP
Sb04g004830	Orphans
Sb04g034580	Homeobox
Sb02g038980	Alfin-like
Sb09g022900	Orphans
Sb01g009380	bHLH
Sb06g001740	Orphans
Sb02g039190	ZIM
Sb03g026470	MYB-related
Sb04g021970	E2F-DP
Sb05g004800	TCP
Sb06g021170	Orphans
Sb04g023670	C2H2
Sb03g034850	ARF
Sb10g002020	BBR/BPC
Sb08g020290	bHLH
Sb03g034670	WRKY
Sb04g005680	Orphans
Sb10g026690	MADS
Sb10g003680	Orphans
Sb04g034190	bZIP
Sb01g009460	Homeobox
Sb01g015760	GRAS
Sb03g042860	bHLH
Sb10g006700	MYB
Sb02g004370	HSF
Sb05g024770	Orphans
Sb01g013710	Homeobox
Sb02g027460	bHLH
Sb06g029476	Orphans
Sb07g007600	Homeobox
Sb09g002086	MYB-related
Sb03g002510	Orphans
Sb03g011160	C2C2-Dof
Sb04g029340	CCAAT
Sb02g043480	bZIP
Sb01g048130	NAC
Sb01g030770	bZIP
Sb06g029270	Homeobox
Sb04g036630	JUMONJI
Sb03g012550	MYB
Sb09g019410	Orphans
Sb01g034270	MYB
Sb03g033280	ABI3-VP1
Sb04g025260	bHLH
Sb04g016540	WRKY
Sb07g027080	ARF
Sb08g021350	Homeobox
Sb06g004510	Homeobox
Sb03g026110	Orphans
Sb10g004500	bHLH
Sb01g011220	CCAAT-HAP2
Sb06g015190	Orphans
Sb04g001650	bHLH
Sb01g042370	HSF
Sb08g022030	C2C2-YABBY
Sb05g023917	MADS
Sb06g017490	ARF
Sb03g002630	AP2-EREBP
Sb01g014310	NAC
Sb02g037500	BZR
Sb07g002750	C3H
Sb02g003320	CCAAT-HAP2
Sb01g005170	bZIP
Sb08g006350	CCAAT
