genename	familyname
Bradi1g53770	NAC
Bradi1g32720	MYB
Bradi1g09177	bHLH
Bradi1g72890	AP2-EREBP
Bradi4g02060	NAC
Bradi2g46197	NAC
Bradi2g25150	NAC
Bradi3g17287	NAC
Bradi3g41980	bZIP
Bradi1g44070	MYB
Bradi1g10360	Orphans
Bradi2g60620	NAC
Bradi1g63220	WRKY
Bradi2g46080	C3H
Bradi2g25050	AP2-EREBP
Bradi1g35697	Orphans
Bradi1g24720	ABI3-VP1
Bradi3g52320	G2-like
Bradi4g29796	MYB
Bradi2g50687	TCP
Bradi2g46430	NAC
Bradi3g23800	CAMTA
Bradi1g36590	AP2-EREBP
Bradi4g44040	C3H
Bradi1g72330	ABI3-VP1
Bradi1g22907	GRAS
Bradi4g42120	bZIP
Bradi1g43710	G2-like
Bradi4g35620	AP2-EREBP
Bradi3g59420	NLP
Bradi3g06957	C3H
Bradi4g34680	MADS
Bradi2g45090	C3H
Bradi1g62320	Orphans
Bradi4g40350	MADS
Bradi1g12770	bHLH
Bradi1g61397	MYB
Bradi3g47627	NAC
Bradi2g53480	WRKY
Bradi5g14497	bZIP
Bradi1g33870	Homeobox
Bradi4g32050	HSF
Bradi4g02990	ABI3-VP1
Bradi5g16910	C2C2-YABBY
Bradi4g38630	BZR
Bradi2g32310	Orphans
Bradi4g32130	HSF
Bradi4g01300	C2C2-YABBY
Bradi4g13560	NAC
Bradi1g35410	AP2-EREBP
Bradi3g31890	bZIP
Bradi4g32934	bHLH
Bradi4g23967	MYB
Bradi2g20347	CPP
Bradi3g18670	MADS
Bradi2g05750	C3H
Bradi2g09434	AP2-EREBP
Bradi1g75040	AP2-EREBP
Bradi3g03510	SBP
Bradi5g12160	ARR-B
Bradi2g48210	Orphans
Bradi1g45517	ABI3-VP1
Bradi3g48180	Orphans
Bradi1g32200	CCAAT
Bradi1g14090	Orphans
Bradi1g30870	WRKY
Bradi3g57800	GeBP
Bradi4g44350	WRKY
Bradi3g51610	AP2-EREBP
Bradi4g35780	HSF
Bradi2g20060	TCP
Bradi2g00720	bHLH
Bradi1g46270	Orphans
Bradi4g43090	Orphans
Bradi2g04810	G2-like
Bradi2g43500	Orphans
Bradi1g46700	bHLH
Bradi1g30140	bZIP
Bradi3g14500	Homeobox
Bradi3g11036	MYB-related
Bradi2g21197	bZIP
Bradi2g19410	Orphans
Bradi4g26170	ZF-HD
Bradi2g61000	Orphans
Bradi1g23550	BZR
Bradi3g21390	BBR/BPC
Bradi3g38970	bHLH
Bradi2g47730	bHLH
Bradi4g36460	MYB
Bradi5g11270	MADS
Bradi1g52000	ABI3-VP1
Bradi4g41880	GRAS
Bradi1g35400	AP2-EREBP
Bradi1g72610	ZIM
Bradi1g43660	bZIP
Bradi2g09350	C3H
Bradi1g38180	BZR
Bradi1g68800	MYB
Bradi1g51030	WRKY
Bradi1g14480	G2-like
Bradi3g26690	Homeobox
Bradi5g20607	GRF
Bradi5g16917	NAC
Bradi3g33630	Trihelix
Bradi2g24790	NAC
Bradi1g76030	bHLH
Bradi5g25570	AP2-EREBP
Bradi2g59480	ARF
Bradi3g10010	Orphans
Bradi2g22130	ABI3-VP1
Bradi2g38160	MYB-related
Bradi2g48090	WRKY
Bradi5g11070	Trihelix
Bradi4g30240	ZF-HD
Bradi2g37800	AP2-EREBP
Bradi1g77070	bHLH
Bradi2g41530	HSF
Bradi4g43960	ZF-HD
Bradi4g35910	Homeobox
Bradi3g45997	AP2-EREBP
Bradi2g02100	AP2-EREBP
Bradi5g17610	AP2-EREBP
Bradi2g02710	AP2-EREBP
Bradi3g53060	bHLH
