genename	element
Sb09g021580	TF
Sb03g028440	TF
Sb04g025660	TF
Sb02g035870	TF
Sb10g004390	TF
Sb10g029810	TF
Sb04g000500	TF
Sb02g024260	TF
Sb06g002260	TF
Sb05g022110	TF
Sb06g025890	TF
Sb10g008400	TF
Sb09g003290	TF
Sb02g038960	TF
Sb06g023960	TF
Sb07g003900	TF
Sb07g000910	TF
Sb02g001090	TF
Sb05g027780	TF
Sb01g046920	TF
Sb01g005086	TF
Sb05g027790	TF
Sb02g005005	TF
Sb02g006710	TF
Sb04g030930	TF
Sb04g012650	TF
Sb09g028850	TF
Sb04g008400	TF
Sb03g034245	TF
Sb03g034510	TF
Sb02g027430	TF
Sb01g009870	TF
Sb03g007360	TF
Sb06g024510	TF
Sb02g009770	TF
Sb05g005450	TF
Sb0239s002020	TF
Sb08g003760	TF
Sb07g002945	TF
Sb04g027180	TF
Sb06g030100	TF
Sb01g020470	TF
Sb10g030400	TF
Sb04g027280	TF
Sb10g006810	TF
Sb04g031250	TF
Sb01g041630	TF
Sb02g010680	TF
Sb01g050000	TF
Sb01g011960	TF
Sb09g020610	TF
Sb06g025020	TF
Sb07g008580	TF
Sb03g011920	TF
Sb09g028330	TF
Sb01g021000	TF
Sb03g003170	TF
Sb10g024330	TF
Sb07g025310	TF
Sb02g012860	TF
Sb03g025780	TF
Sb02g001970	TF
Sb03g042180	TF
Sb01g049240	TF
Sb09g021540	TF
Sb06g034010	TF
Sb03g047520	TF
Sb08g001310	TF
Sb04g003175	TF
Sb09g005870	TF
Sb04g008840	TF
Sb04g033930	TF
Sb07g004100	TF
Sb01g013960	TF
Sb01g011150	TF
Sb03g037080	TF
Sb03g006790	TF
Sb10g003170	TF
Sb04g027930	TF
Sb02g042000	TF
Sb01g045190	TF
Sb02g037430	TF
Sb02g006023	TF
Sb03g034360	TF
Sb06g032870	TF
Sb05g001500	TF
Sb01g015170	TF
Sb04g023990	TF
Sb07g003320	TF
Sb02g034880	TF
Sb01g023290	TF
Sb07g027420	TF
Sb02g008880	TF
Sb08g004250	TF
Sb03g040450	TF
Sb04g006450	TF
Sb07g029150	TF
Sb01g048730	TF
Sb10g022210	TF
Sb05g004880	TF
Sb03g040530	TF
Sb03g038210	TF
Sb02g040960	TF
Sb02g043270	TF
Sb05g019530	TF
Sb06g019710	TF
Sb09g025340	TF
Sb02g043210	TF
Sb05g027785	TF
Sb04g022470	TF
Sb02g013010	TF
Sb07g025270	TF
Sb04g004830	TF
Sb04g034580	TF
Sb02g038980	TF
Sb09g022900	TF
Sb01g009380	TF
Sb06g001740	TF
Sb02g039190	TF
Sb03g026470	TF
Sb04g021970	TF
Sb05g004800	TF
Sb06g021170	TF
Sb04g023670	TF
Sb03g034850	TF
Sb10g002020	TF
Sb08g020290	TF
Sb03g034670	TF
Sb04g005680	TF
Sb10g026690	TF
Sb10g003680	TF
Sb04g034190	TF
Sb01g009460	TF
Sb01g015760	TF
Sb03g042860	TF
Sb10g006700	TF
Sb02g004370	TF
Sb05g024770	TF
Sb01g013710	TF
Sb02g027460	TF
Sb06g029476	TF
Sb07g007600	TF
Sb09g002086	TF
Sb03g002510	TF
Sb03g011160	TF
Sb04g029340	TF
Sb02g043480	TF
Sb01g048130	TF
Sb01g030770	TF
Sb06g029270	TF
Sb04g036630	Coreg
Sb03g012550	TF
Sb09g019410	TF
Sb01g034270	TF
Sb03g033280	TF
Sb04g025260	TF
Sb04g016540	TF
Sb07g027080	TF
Sb08g021350	TF
Sb06g004510	TF
Sb03g026110	TF
Sb10g004500	TF
Sb01g011220	TF
Sb06g015190	TF
Sb04g001650	TF
Sb01g042370	TF
Sb08g022030	TF
Sb05g023917	TF
Sb06g017490	TF
Sb03g002630	TF
Sb01g014310	TF
Sb02g037500	TF
Sb07g002750	TF
Sb02g003320	TF
Sb01g005170	TF
Sb08g006350	TF
Sb06g026410	TF
Sb09g003310	TF
Sb09g002675	TF
Sb10g019770	TF
Sb10g019790	TF
Sb10g026680	TF
Sb04g034800	TF
Sb09g026440	TF
Sb10g000590	TF
Sb09g015900	TF
Sb01g008510	TF
Sb06g027405	TF
Sb04g027660	TF
Sb05g008290	TF
Sb03g028030	TF
Sb01g014420	TF
Sb08g003180	TF
Sb04g030830	TF
Sb06g030670	TF
Sb01g019780	TF
Sb03g038080	TF
Sb03g030910	TF
Sb01g008380	TF
Sb07g025330	TF
Sb01g006020	TF
Sb03g045610	TF
Sb08g018760	TF
Sb01g000730	TF
Sb03g003110	TF
Sb07g024850	TF
Sb01g007130	TF
Sb09g026800	TF
Sb01g037830	TF
Sb02g038340	TF
Sb01g014480	TF
Sb01g020090	TF
Sb01g042030	TF
Sb07g023575	TF
Sb04g004430	TF
Sb01g012280	TF
Sb01g028930	TF
Sb03g037750	TF
Sb02g029870	TF
Sb02g025080	TF
Sb02g005810	TF
Sb04g006180	TF
Sb03g003050	TF
Sb03g006510	TF
Sb06g027290	TF
Sb06g033010	TF
Sb01g048970	TF
Sb03g012625	TF
Sb01g042400	TF
Sb09g025580	TF
Sb10g024870	TF
Sb01g036870	TF
Sb03g005480	TF
Sb10g024170	TF
Sb05g001730	TF
Sb06g024980	TF
Sb01g007950	TF
Sb04g030770	TF
Sb08g021910	TF
Sb10g025600	TF
Sb10g001490	TF
Sb04g034830	TF
Sb07g023030	TF
Sb01g010420	TF
Sb04g007500	TF
Sb10g029250	TF
Sb09g022270	TF
Sb01g033153	TF
Sb09g030390	TF
Sb01g014354	TF
Sb08g012360	TF
Sb04g022810	TF
Sb08g006330	TF
Sb08g021725	TF
Sb06g025750	TF
Sb02g030320	TF
Sb04g022260	TF
Sb01g032800	TF
Sb03g030330	TF
Sb09g029550	TF
Sb04g020050	TF
Sb03g044660	TF
Sb02g033620	TF
Sb02g020900	TF
Sb02g032860	TF
Sb09g002060	TF
Sb02g043320	TF
Sb07g024970	TF
Sb09g002080	TF
Sb10g024190	TF
Sb05g007050	TF
Sb04g032590	TF
Sb03g008560	TF
Sb08g020800	TF
Sb09g004820	TF
Sb10g006440	TF
Sb01g041425	TF
Sb02g040160	TF
Sb01g009790	TF
Sb01g028230	TF
Sb08g003670	TF
Sb03g008470	TF
Sb03g003640	TF
Sb07g019400	TF
Sb07g004410	TF
Sb09g028990	TF
Sb05g003400	TF
Sb06g021350	TF
Sb04g002940	TF
Sb02g026530	TF
Sb04g029720	TF
Sb01g007110	TF
Sb10g007380	TF
Sb02g027410	TF
Sb04g029710	Coreg
Sb10g031265	Coreg
Sb05g007460	Coreg
Sb10g007090	TF
Sb01g014810	TF
Sb08g018580	TF
Sb03g045150	TF
Sb05g026820	TF
Sb06g023940	TF
Sb07g020820	TF
Sb04g038140	TF
Sb01g000900	TF
Sb07g003870	TF
Sb02g027950	TF
Sb03g025860	TF
Sb07g021110	TF
Sb04g008260	TF
Sb03g041760	TF
Sb04g031230	TF
Sb01g015165	TF
Sb03g034950	TF
Sb01g010690	TF
Sb01g036810	TF
Sb03g009030	TF
Sb10g023950	TF
Sb03g032730	TF
Sb01g024673	TF
Sb10g012170	TF
Sb01g014410	TF
Sb01g019130	TF
Sb03g041920	TF
Sb06g026970	TF
Sb04g029270	TF
Sb01g029170	TF
Sb01g016710	TF
Sb03g003005	TF
Sb03g043030	TF
Sb02g004590	TF
Sb10g025450	TF
Sb01g013843	TF
Sb01g045050	TF
Sb02g034550	TF
Sb10g002750	TF
Sb04g028920	TF
Sb01g040450	TF
Sb09g027010	TF
Sb03g046090	TF
Sb06g013785	TF
Sb09g021590	TF
Sb10g006690	TF
Sb05g003450	TF
Sb01g018060	TF
Sb07g025490	TF
Sb07g006190	TF
Sb09g000900	TF
Sb09g025450	TF
Sb08g022760	TF
Sb02g027300	TF
Sb02g024750	TF
Sb04g031820	TF
