genename	familyname
SCQSHR1020H09.g	AP2-EREBP
PTSo00349.1	C3H
SCBGLR1099G06.g	Homeobox
PTSo00527.1	GRAS
SCEPRT2043C06.g	bHLH
SCVPRZ3026C06.g	AP2-EREBP
PTSo01053.1	ZIM
SCQSLR1040B09.g	Orphans
SCMCSB1109C11.g	NAC
PTSo00343.1	C3H
PTSo01028.1	Trihelix
SCCCFL4003G08.g	MADS
PTSo00476.1	G2-like
SCRLLR1111E05.g	C2C2-Dof
SCRUSB1078B10.g	BBR/BPC
PTSo00550.1	GRAS
SCQGAM2110B09.g	C2C2-Dof
SCJFLR1035G11.g	bZIP
PTSo00526.1	GRAS
SCAGLR1064B04.g	AP2-EREBP
PTSo00067.1	AP2-EREBP
SCMCCL6053D03.g	C2C2-Dof
SCBGFL4053B04.g	bHLH
PTSo00350.1	C3H
PTSo00404.1	Orphans
SCQGLR1019D12.g	AP2-EREBP
PTSo00909.1	NAC
PTSo00544.1	GRAS
PTSo00986.1	SBP
SCSBAM1088B05.g	MADS
PTSo00785.1	MADS
SCJFRT1007A12.g	Orphans
SCCCRT2001B02.g	Alfin-like
PTSo00864.1	MYB-related
SCJFRZ2014C04.g	MYB
SCVPFL1135A11.g	SBP
SCEZLB1006C01.g	Orphans
PTSo00528.1	GRAS
SCRLLR1059C04.g	MYB
SCQGRT1038G12.g	AP2-EREBP
PTSo00359.1	C3H
SCJFFL3C08F11.b	bZIP
SCAGLR1021G10.g	Homeobox
SCAGLB1069D10.g	Orphans
SCEPAM2013E03.g	bHLH
SCCCLR1076F07.g	bHLH
SCMCRT2102F09.g	MYB
SCSGAM2078E01.g	Orphans
PTSo01018.1	TUB
SCCCCL3005F04.b	ARF
PTSo00577.1	Homeobox
SCQSLB1052G02.g	Alfin-like
PTSo00295.1	C2C2-YABBY
SCCCRZ1004G12.g	NAC
SCVPFL1072E07.g	Orphans
SCEZRT2023G12.g	NAC
PTSo01072.1	ZIM
SCRLSD1012F04.g	AP2-EREBP
SCRULB1057G12.g	MYB
SCSFSD1067B09.g	C2C2-Dof
SCSFHR1042G07.g	WRKY
SCCCRZ2001C02.g	C2C2-GATA
SCVPFL1065B09.g	WRKY
SCJFLR1035B10.g	bZIP
PTSo00545.1	GRAS
PTSo00320.1	C2H2
SCMCCL6050H05.g	Homeobox
PTSo00787.1	MADS
PTSo00907.1	NAC
SCCCFL4095H11.g	bHLH
PTSo00497.1	G2-like
SCJLLR1104A12.g	ABI3-VP1
SCEPRZ1010C07.g	Homeobox
SCEQLB1064D03.g	bZIP
PTSo00330.1	C3H
SCCCLR1048H04.g	Alfin-like
SCJFRZ2027C11.g	NLP
SCRLSD1009A05.g	C2C2-Dof
PTSo01091.1	bHLH
SCRFRZ3056G07.g	C2C2-Dof
SCJLRZ1019G05.g	GRAS
SCEPRZ3046F02.g	ARID
SCEQRT2101E10.g	MYB
SCEPCL6019C06.g	C3H
SCAGLR2011B02.g	AP2-EREBP
SCUTLR1058E01.g	AP2-EREBP
SCBGLR1002H04.g	NAC
SCRLFL4026C11.g	C2C2-Dof
SCQGLR2017H06.g	WRKY
SCCCCL3001H09.g	bZIP
SCEZLB1005A10.g	GRAS
SCMCRT2105F02.g	MYB
SCRULR1020H08.g	Homeobox
SCEQRT2026E03.g	bHLH
SCCCLR1070C08.g	NAC
SCCCLR2001F11.g	MADS
PTSo00358.1	C3H
PTSo00106.1	ARF
SCCCLR1024F08.g	C3H
PTSo00264.1	BZR
