genename	element
LOC_Os06g03670	TF
LOC_Os02g10760	TF
LOC_Os02g04340	TF
LOC_Os12g37970	TF
LOC_Os04g47890	TF
LOC_Os05g41070	TF
LOC_Os02g07840	TF
LOC_Os01g62660	TF
LOC_Os02g02290	TF
LOC_Os06g05350	TF
LOC_Os06g15480	TF
LOC_Os12g39640	TF
LOC_Os07g40020	TF
LOC_Os06g30860	TF
LOC_Os08g43550	TF
LOC_Os02g48370	TF
LOC_Os12g07120	TF
LOC_Os01g59660	TF
LOC_Os09g21180	TF
LOC_Os07g44950	TF
LOC_Os05g50080	TF
LOC_Os01g70880	TF
LOC_Os01g07450	TF
LOC_Os03g58830	TF
LOC_Os04g48160	TF
LOC_Os05g03040	TF
LOC_Os01g66270	TF
LOC_Os06g44860	TF
LOC_Os08g41320	TF
LOC_Os10g26240	TF
LOC_Os07g47110	TF
LOC_Os01g54210	TF
LOC_Os01g13540	TF
LOC_Os04g08290	TF
LOC_Os08g41030	TF
LOC_Os04g45020	TF
LOC_Os02g34270	TF
LOC_Os06g02560	TF
LOC_Os05g49010	TF
LOC_Os04g36640	TF
LOC_Os05g49930	TF
LOC_Os12g43620	TF
LOC_Os02g10080	TF
LOC_Os08g33488	TF
LOC_Os03g63750	TF
LOC_Os08g42470	TF
LOC_Os10g25620	TF
LOC_Os08g19590	TF
LOC_Os05g27930	TF
LOC_Os01g06640	TF
LOC_Os04g32790	TF
LOC_Os04g58680	TF
LOC_Os02g51280	TF
LOC_Os06g10900	TF
LOC_Os12g41060	TF
LOC_Os11g08210	TF
LOC_Os06g09370	TF
LOC_Os01g60020	TF
LOC_Os05g34310	TF
LOC_Os10g02620	TF
LOC_Os01g09550	TF
LOC_Os03g19120	TF
LOC_Os01g50720	TF
LOC_Os02g56250	TF
LOC_Os07g48410	TF
LOC_Os02g49480	TF
LOC_Os05g38990	TF
LOC_Os01g14720	TF
LOC_Os07g34880	TF
LOC_Os03g03540	TF
LOC_Os12g09250	TF
LOC_Os08g28900	TF
LOC_Os03g47200	TF
LOC_Os01g54990	TF
LOC_Os03g44710	TF
LOC_Os04g55590	TF
LOC_Os05g10690	TF
LOC_Os06g11860	TF
LOC_Os05g10670	TF
LOC_Os10g42430	TF
LOC_Os05g39720	TF
LOC_Os01g64790	TF
LOC_Os09g10840	TF
LOC_Os09g29360	TF
LOC_Os01g60540	TF
LOC_Os02g12790	TF
LOC_Os09g01960	TF
LOC_Os03g16850	TF
LOC_Os02g34370	TF
LOC_Os05g10620	TF
LOC_Os06g09790	TF
LOC_Os05g33810	TF
LOC_Os08g41960	TF
