genename	familyname
GRMZM2G435294	Orphans
GRMZM2G392306	NLP
GRMZM2G113888	TCP
GRMZM2G152415	MADS
GRMZM5G852704	AP2-EREBP
GRMZM5G814279	MADS
GRMZM2G033413	bZIP
GRMZM2G066373	GeBP
GRMZM2G033915	Orphans
GRMZM2G005066	MYB
GRMZM2G067743	GRF
GRMZM2G169709	E2F-DP
GRMZM2G160005	ARF
GRMZM2G171179	AP2-EREBP
GRMZM2G024530	bHLH
GRMZM2G067053	Orphans
GRMZM2G067654	bHLH
GRMZM2G409974	ARR-B
GRMZM2G156006	AP2-EREBP
GRMZM2G149132	DBP
GRMZM2G402156	MYB-related
GRMZM2G301860	AP2-EREBP
GRMZM2G017349	bHLH
GRMZM2G531231	MADS
GRMZM2G429378	AP2-EREBP
GRMZM2G003551	WRKY
GRMZM2G028594	Orphans
AC193630.3_FG003	WRKY
GRMZM2G073982	AP2-EREBP
GRMZM2G134260	Homeobox
GRMZM2G106276	Homeobox
GRMZM2G171395	NAC
GRMZM2G118690	BBR/BPC
AC234164.1_FG004	GRAS
GRMZM2G119359	Orphans
GRMZM2G044824	MYB
GRMZM2G135052	MYB-related
GRMZM2G051785	GRAS
GRMZM2G041668	NAC
GRMZM2G440219	NAC
GRMZM2G459156	NAC
GRMZM2G163914	NAC
GRMZM2G405368	C2C2-CO-like
GRMZM2G167576	CCAAT-DR1
GRMZM2G013398	C2C2-CO-like
GRMZM2G395842	C3H
GRMZM2G115721	NAC
GRMZM2G076272	Homeobox
GRMZM2G173090	HSF
GRMZM2G333083	G2-like
GRMZM2G104074	NAC
GRMZM2G045109	bHLH
GRMZM2G121897	CCAAT-DR1
GRMZM2G099577	MADS
GRMZM2G073047	AP2-EREBP
GRMZM2G118047	HSF
GRMZM5G812774	BZR
GRMZM2G110582	MADS
GRMZM2G340177	bHLH
GRMZM2G039586	C2C2-GATA
GRMZM2G088096	Rcd1-like
GRMZM2G140355	bZIP
GRMZM2G163641	Homeobox
GRMZM2G148940	FAR1-like
GRMZM2G158734	DBP
GRMZM2G416652	MYB
GRMZM2G167088	MYB
GRMZM2G004090	MYB
GRMZM2G050912	bZIP
GRMZM2G055243	Homeobox
GRMZM2G160730	AP2-EREBP
GRMZM5G803308	MYB
GRMZM2G104866	AP2-EREBP
GRMZM2G407631	bZIP
GRMZM5G870753	Rcd1-like
GRMZM2G025812	bZIP
GRMZM5G883993	ARID
GRMZM2G151689	C3H
GRMZM2G060290	bZIP
GRMZM2G360541	Orphans
GRMZM2G360523	ARR-B
GRMZM2G378653	bHLH
GRMZM2G065394	Orphans
GRMZM2G114680	GRAS
GRMZM2G111711	WRKY
GRMZM2G398615	Orphans
GRMZM2G091061	Orphans
GRMZM2G047376	Orphans
GRMZM2G104076	Orphans
GRMZM2G107886	C2C2-CO-like
GRMZM2G139082	AP2-EREBP
GRMZM2G038783	C2C2-CO-like
GRMZM2G025579	Orphans
GRMZM2G103647	bZIP
GRMZM2G081671	G2-like
GRMZM2G124421	CCAAT-HAP5
GRMZM2G170148	MYB-related
GRMZM2G454449	G2-like
GRMZM2G049229	bHLH
GRMZM2G349376	TUB
GRMZM2G093270	PLATZ
GRMZM2G428470	Trihelix
GRMZM2G034110	MYB-related
GRMZM5G889719	AP2-EREBP
GRMZM2G004483	Orphans
GRMZM2G101058	C2C2-GATA
GRMZM2G117949	GRAS
GRMZM2G098179	MYB
GRMZM2G431243	Orphans
GRMZM2G302873	Orphans
GRMZM2G150213	Orphans
GRMZM2G077495	PLATZ
GRMZM2G359304	GRAS
GRMZM2G171428	WRKY
GRMZM2G114820	AP2-EREBP
GRMZM2G137869	OVATE
GRMZM2G070034	MADS
GRMZM2G142999	ABI3-VP1
GRMZM2G009163	Orphans
GRMZM2G108272	Orphans
GRMZM2G108309	Orphans
GRMZM2G072573	Orphans
GRMZM2G030458	GeBP
GRMZM2G157716	mTERF
GRMZM2G084397	Orphans
GRMZM2G151295	bZIP
GRMZM2G086614	C3H
GRMZM2G042494	NAC
GRMZM2G159500	NAC
GRMZM2G162481	Homeobox
GRMZM2G317584	EIL
GRMZM2G060918	WRKY
GRMZM2G134279	MYB
GRMZM2G056099	bZIP
GRMZM2G326783	Trihelix
GRMZM2G066734	bZIP
GRMZM2G022686	MYB
GRMZM2G006429	Orphans
GRMZM2G700011	MYB-related
GRMZM2G465287	Orphans
GRMZM2G128953	MADS
GRMZM2G145568	LBD
GRMZM2G095727	Orphans
GRMZM2G103247	Orphans
GRMZM2G098784	GRAS
GRMZM2G435290	Aux/IAA
GRMZM2G017537	MED6
GRMZM2G455243	PHD
GRMZM2G167207	BSD
GRMZM2G001799	Aux/IAA
GRMZM2G000909	TRAF
GRMZM2G156129	PHD
GRMZM2G472428	SNF2
GRMZM2G071613	PHD
GRMZM2G051135	MBF1
GRMZM2G050137	GNAT
GRMZM2G009724	TRAF
AC234158.1_FG005	MED26
GRMZM5G812289	MED26
GRMZM2G178663	MED26
GRMZM2G007922	SNF2
GRMZM2G428933	JUMONJI
GRMZM5G889372	PHD
GRMZM2G007406	AP2-EREBP
GRMZM2G043854	bHLH
GRMZM2G150594	LBD
GRMZM2G152319	MYB-related
GRMZM2G074032	C2H2
GRMZM2G105834	Homeobox
GRMZM2G407119	bHLH
GRMZM2G021573	AP2-EREBP
GRMZM2G026742	HSF
GRMZM2G126936	NAC
GRMZM2G126834	ARR-B
GRMZM5G894234	NAC
GRMZM2G102161	MADS
GRMZM2G102218	C2C2-YABBY
GRMZM2G386923	Rcd1-like
GRMZM2G130943	Orphans
GRMZM2G154149	Orphans
GRMZM2G028039	GRAS
GRMZM2G113060	AP2-EREBP
AC233899.1_FG004	Homeobox
AC233899.1_FG002	bHLH
GRMZM2G028794	ABI3-VP1
GRMZM2G036351	ZIM
GRMZM2G036349	ZIM
GRMZM2G036288	ZIM
GRMZM2G376255	AP2-EREBP
GRMZM2G399098	AP2-EREBP
AC149829.2_FG004	bHLH
GRMZM2G178741	Homeobox
GRMZM2G126817	NAC
GRMZM2G126802	Orphans
GRMZM2G010017	Orphans
GRMZM2G057529	Orphans
GRMZM2G089686	MYB
GRMZM2G532534	C2C2-GATA
AC149818.2_FG009	LBD
GRMZM2G063387	E2F-DP
GRMZM2G030882	Orphans
GRMZM2G374986	G2-like
GRMZM2G473274	bZIP
