genename	familyname
LOC_Os06g03670	AP2-EREBP
LOC_Os02g10760	AP2-EREBP
LOC_Os02g04340	NLP
LOC_Os12g37970	MYB
LOC_Os04g47890	G2-like
LOC_Os05g41070	bZIP
LOC_Os02g07840	bZIP
LOC_Os01g62660	G2-like
LOC_Os02g02290	Orphans
LOC_Os06g05350	WHIRLY
LOC_Os06g15480	bZIP
LOC_Os12g39640	G2-like
LOC_Os07g40020	GRAS
LOC_Os06g30860	WRKY
LOC_Os08g43550	MYB
LOC_Os02g48370	ARID
LOC_Os12g07120	C2C2-GATA
LOC_Os01g59660	MYB
LOC_Os09g21180	Homeobox
LOC_Os07g44950	bZIP
LOC_Os05g50080	C3H
LOC_Os01g70880	CCAAT-HAP3
LOC_Os01g07450	MYB
LOC_Os03g58830	bHLH
LOC_Os04g48160	Orphans
LOC_Os05g03040	AP2-EREBP
LOC_Os01g66270	AP2-EREBP
LOC_Os06g44860	SBP
LOC_Os08g41320	bHLH
LOC_Os10g26240	NAC
LOC_Os07g47110	TUB
LOC_Os01g54210	C2C2-GATA
LOC_Os01g13540	NLP
LOC_Os04g08290	C2H2
LOC_Os08g41030	AP2-EREBP
LOC_Os04g45020	MYB
LOC_Os02g34270	AP2-EREBP
LOC_Os06g02560	GRF
LOC_Os05g49010	AP2-EREBP
LOC_Os04g36640	AP2-EREBP
LOC_Os05g49930	GRAS
LOC_Os12g43620	bHLH
LOC_Os02g10080	C3H
LOC_Os08g33488	MADS
LOC_Os03g63750	HSF
LOC_Os08g42470	bHLH
LOC_Os10g25620	NAC
LOC_Os08g19590	Homeobox
LOC_Os05g27930	AP2-EREBP
LOC_Os01g06640	bHLH
LOC_Os04g32790	AP2-EREBP
LOC_Os04g58680	CCAAT-HAP5
LOC_Os02g51280	TCP
LOC_Os06g10900	GRAS
LOC_Os12g41060	AP2-EREBP
LOC_Os11g08210	NAC
LOC_Os06g09370	bHLH
LOC_Os01g60020	NAC
LOC_Os05g34310	NAC
LOC_Os10g02620	BBR/BPC
LOC_Os01g09550	NAC
LOC_Os03g19120	MYB
LOC_Os01g50720	MYB
LOC_Os02g56250	C2C2-GATA
LOC_Os07g48410	C3H
LOC_Os02g49480	bHLH
LOC_Os05g38990	Orphans
LOC_Os01g14720	GeBP
LOC_Os07g34880	Homeobox
LOC_Os03g03540	NAC
LOC_Os12g09250	bZIP
LOC_Os08g28900	Orphans
LOC_Os03g47200	bZIP
LOC_Os01g54990	ARF
LOC_Os03g44710	C2C2-YABBY
LOC_Os04g55590	Homeobox
LOC_Os05g10690	MYB-related
LOC_Os06g11860	AP2-EREBP
LOC_Os05g10670	C3H
LOC_Os10g42430	bHLH
LOC_Os05g39720	WRKY
LOC_Os01g64790	AP2-EREBP
LOC_Os09g10840	bZIP
LOC_Os09g29360	bHLH
LOC_Os01g60540	WRKY
LOC_Os02g12790	C2C2-GATA
LOC_Os09g01960	MYB
LOC_Os03g16850	C2C2-Dof
LOC_Os02g34370	bHLH
LOC_Os05g10620	NAC
LOC_Os06g09790	AP2-EREBP
LOC_Os05g33810	SBP
LOC_Os08g41960	MADS
LOC_Os02g32140	AP2-EREBP
LOC_Os08g39630	bHLH
LOC_Os07g10890	bZIP
LOC_Os02g13900	BZR
LOC_Os03g50920	ZF-HD
LOC_Os11g29870	WRKY
LOC_Os02g42060	Orphans
LOC_Os05g43950	VOZ
LOC_Os01g66490	NAC
LOC_Os03g12120	NAC
LOC_Os01g44370	MYB-related
LOC_Os11g34200	CCAAT-HAP5
LOC_Os12g41160	Orphans
LOC_Os07g47140	Orphans
LOC_Os05g02730	Homeobox
LOC_Os01g61900	Orphans
LOC_Os02g06910	ARF
LOC_Os02g52510	Orphans
LOC_Os06g08440	ARR-B
LOC_Os01g10370	AP2-EREBP
LOC_Os04g08740	Orphans
LOC_Os01g19970	MYB
LOC_Os03g51970	GRF
LOC_Os01g67770	ARR-B
LOC_Os02g35100	Orphans
LOC_Os03g27090	MYB
LOC_Os04g54474	bZIP
LOC_Os01g01290	CCAAT-HAP5
LOC_Os12g02090	TCP
LOC_Os05g42130	GRAS
LOC_Os10g19342	Orphans
LOC_Os08g33910	NAC
LOC_Os01g51260	MYB
LOC_Os07g32510	C2C2-Dof
LOC_Os01g40430	WRKY
LOC_Os02g08150	C2C2-CO-like
LOC_Os02g45450	AP2-EREBP
LOC_Os05g50610	WRKY
LOC_Os01g29840	NAC
LOC_Os10g39750	bHLH
LOC_Os07g02060	WRKY
LOC_Os11g01130	Homeobox
LOC_Os02g49230	C2C2-CO-like
LOC_Os09g35030	AP2-EREBP
LOC_Os10g38000	AP2-EREBP
LOC_Os10g39030	Homeobox
LOC_Os02g45480	C3H
LOC_Os11g02470	WRKY
LOC_Os08g26990	Orphans
LOC_Os02g07770	G2-like
LOC_Os06g09390	AP2-EREBP
LOC_Os03g45194	MYB-related
LOC_Os05g01256	bHLH
