genename	element
Bradi1g53770	TF
Bradi1g32720	TF
Bradi1g09177	TF
Bradi1g72890	TF
Bradi4g02060	TF
Bradi2g46197	TF
Bradi2g25150	TF
Bradi3g17287	TF
Bradi3g41980	TF
Bradi1g44070	TF
Bradi1g10360	TF
Bradi2g60620	TF
Bradi1g63220	TF
Bradi2g46080	TF
Bradi2g25050	TF
Bradi1g35697	TF
Bradi1g24720	TF
Bradi3g52320	TF
Bradi4g29796	TF
Bradi2g50687	TF
Bradi2g46430	TF
Bradi3g23800	TF
Bradi1g36590	TF
Bradi4g44040	TF
Bradi1g72330	TF
Bradi1g22907	TF
Bradi4g42120	TF
Bradi1g43710	TF
Bradi4g35620	TF
Bradi3g59420	TF
Bradi3g06957	TF
Bradi4g34680	TF
Bradi2g45090	TF
Bradi1g62320	TF
Bradi4g40350	TF
Bradi1g12770	TF
Bradi1g61397	TF
Bradi3g47627	TF
Bradi2g53480	TF
Bradi5g14497	TF
Bradi1g33870	TF
Bradi4g32050	TF
Bradi4g02990	TF
Bradi5g16910	TF
Bradi4g38630	TF
Bradi2g32310	TF
Bradi4g32130	TF
Bradi4g01300	TF
Bradi4g13560	TF
Bradi1g35410	TF
Bradi3g31890	TF
Bradi4g32934	TF
Bradi4g23967	TF
Bradi2g20347	TF
Bradi3g18670	TF
Bradi2g05750	TF
Bradi2g09434	TF
Bradi1g75040	TF
Bradi3g03510	TF
Bradi5g12160	TF
Bradi2g48210	TF
Bradi1g45517	TF
Bradi3g48180	TF
Bradi1g32200	TF
Bradi1g14090	TF
Bradi1g30870	TF
Bradi3g57800	TF
Bradi4g44350	TF
Bradi3g51610	TF
Bradi4g35780	TF
Bradi2g20060	TF
Bradi2g00720	TF
Bradi1g46270	TF
Bradi4g43090	TF
Bradi2g04810	TF
Bradi2g43500	TF
Bradi1g46700	TF
Bradi1g30140	TF
Bradi3g14500	TF
Bradi3g11036	TF
Bradi2g21197	TF
Bradi2g19410	TF
Bradi4g26170	TF
Bradi2g61000	TF
Bradi1g23550	TF
Bradi3g21390	TF
Bradi3g38970	TF
Bradi2g47730	TF
Bradi4g36460	TF
Bradi5g11270	TF
Bradi1g52000	TF
Bradi4g41880	TF
Bradi1g35400	TF
Bradi1g72610	TF
Bradi1g43660	TF
Bradi2g09350	TF
Bradi1g38180	TF
Bradi1g68800	TF
Bradi1g51030	TF
Bradi1g14480	TF
Bradi3g26690	TF
Bradi5g20607	TF
Bradi5g16917	TF
Bradi3g33630	TF
Bradi2g24790	TF
Bradi1g76030	TF
Bradi5g25570	TF
Bradi2g59480	TF
Bradi3g10010	TF
Bradi2g22130	TF
Bradi2g38160	TF
Bradi2g48090	TF
Bradi5g11070	TF
Bradi4g30240	TF
Bradi2g37800	TF
Bradi1g77070	TF
Bradi2g41530	TF
Bradi4g43960	TF
Bradi4g35910	TF
Bradi3g45997	TF
Bradi2g02100	TF
Bradi5g17610	TF
Bradi2g02710	TF
Bradi3g53060	TF
Bradi4g01140	TF
Bradi1g10370	TF
Bradi3g50930	TF
Bradi4g16450	TF
Bradi2g07677	TF
Bradi2g11540	TF
Bradi1g26920	TF
Bradi3g12910	TF
Bradi5g18520	TF
Bradi3g50630	TF
Bradi1g53650	TF
Bradi2g11100	TF
Bradi4g30370	TF
Bradi3g51960	TF
Bradi3g06160	TF
Bradi1g09900	TF
Bradi3g37040	TF
Bradi2g45117	TF
Bradi4g40940	TF
Bradi5g16270	TF
Bradi1g37480	TF
Bradi5g20290	TF
Bradi3g45902	TF
Bradi5g02880	TF
Bradi2g37130	TF
Bradi1g13650	TF
Bradi3g24000	TF
Bradi3g13117	TF
Bradi1g75507	Coreg
Bradi2g14600	Coreg
Bradi5g17570	TF
Bradi1g51040	TF
Bradi3g16377	TF
Bradi2g21380	TF
Bradi1g08106	TF
Bradi1g64687	TF
Bradi1g43480	TF
Bradi4g07717	TF
Bradi3g57000	TF
Bradi4g09170	TF
Bradi3g54160	TF
Bradi1g54450	TF
Bradi1g44520	TF
Bradi1g78540	TF
Bradi4g43937	TF
Bradi2g52860	TF
Bradi1g03880	TF
Bradi5g04817	TF
Bradi4g24100	TF
Bradi1g45120	TF
Bradi1g36540	TF
Bradi3g05577	TF
Bradi1g49560	TF
Bradi4g35670	TF
Bradi2g53070	TF
Bradi2g15940	TF
Bradi3g17790	TF
Bradi3g53270	TF
Bradi5g14280	TF
Bradi2g51727	TF
Bradi1g03020	TF
Bradi1g36236	TF
Bradi1g38730	TF
Bradi2g59127	TF
Bradi3g47847	TF
Bradi1g45170	TF
Bradi1g63530	TF
Bradi2g04000	TF
Bradi4g27720	TF
Bradi3g05510	TF
Bradi2g54940	TF
